SSID,Year,OtherTopic,Data,Security,Application,Infra,FrontEnd,BackEnd,SaaS,Community,StartUp,Enterprise,Academic,AI/ML,Mobile,DevOps,Programming,Blockchain/Web3,Testing/QA,Design,Hardware/IoT/Maker,GIS/Mapping,CivicTech,FinTech/DeFi,EdTech,Telecom/5G,DevLifestyle,Multimedia/CreativeTech,MyData/PersonalData,Culture/Localization,Legal/Policy,SessionCount
L3XAL8,2021,65,76,67,64,74,56,62,65,73,59,64,61,62,65,65,58,63,60,62,66,83,71,61,67,68,61,59,68,64,66,212
H3TKQA,2021,66,75,71,68,74,61,67,72,72,67,72,67,76,68,74,63,72,64,65,77,68,72,71,69,72,72,71,65,67,74,212
XQUYSS,2021,62,64,63,65,68,57,63,61,86,67,62,62,61,65,61,56,61,54,59,62,68,71,57,67,66,59,59,63,66,62,212
7MKHEN,2021,68,62,58,65,62,57,57,62,78,69,67,61,60,59,63,58,56,57,63,64,61,64,57,67,62,70,63,54,66,65,212
XQFBSS,2021,58,52,55,55,56,50,58,53,57,50,54,59,58,55,56,61,57,55,52,59,56,56,57,62,60,53,58,53,69,52,212
XL7QML,2021,64,67,63,67,71,63,64,71,79,78,73,60,63,65,72,61,65,64,69,71,69,66,66,68,69,73,65,61,64,68,212
HXWZEE,2021,63,69,67,56,66,66,61,61,67,57,56,65,63,55,61,62,64,56,59,63,64,64,57,69,57,62,59,60,62,67,212
Z8J7WD,2021,64,68,68,72,68,66,66,67,83,67,67,65,69,68,65,63,67,61,65,74,73,73,67,75,68,68,69,61,70,71,212
7YA8VU,2021,63,65,63,75,62,66,63,67,82,69,64,62,62,67,67,64,61,64,69,69,67,67,59,74,65,70,66,60,66,71,212
CPNC7N,2021,62,62,58,65,57,60,56,60,72,65,60,60,63,62,61,63,58,50,62,65,61,63,55,68,59,66,72,57,72,61,212
T7KYLX,2021,58,55,57,59,59,52,55,56,60,54,55,61,59,55,61,60,59,57,52,60,59,58,59,63,58,57,60,56,68,54,212
RDCYKY,2021,58,54,55,58,57,51,54,53,57,51,56,59,56,58,57,57,55,56,51,55,59,58,56,60,57,53,57,56,69,53,212
BVT3U3,2021,63,65,65,66,68,62,68,63,61,60,59,65,70,63,68,62,70,65,62,76,62,64,63,67,70,66,67,64,60,62,212
GY8RFZ,2021,69,76,70,71,76,67,63,75,72,63,71,71,67,66,67,61,71,62,68,71,73,73,63,70,68,69,71,71,65,73,212
HGXLCC,2021,64,65,65,58,65,56,62,60,62,57,56,62,57,61,62,61,68,54,58,65,69,62,62,62,64,62,59,65,72,63,212
AJCYVJ,2021,63,60,67,71,64,60,60,65,62,61,63,57,62,74,63,63,68,61,62,67,65,66,58,64,68,62,63,59,62,59,212
BRZPN7,2021,63,60,68,63,65,60,60,63,77,70,58,57,61,60,61,54,64,53,54,65,62,74,64,70,65,58,61,57,61,67,212
9USRAP,2021,72,67,66,70,72,61,63,66,79,74,73,66,70,73,73,62,66,60,67,73,75,77,66,71,75,75,72,63,78,66,212
W8WLDX,2021,59,57,54,63,61,56,61,63,62,52,58,63,55,59,61,56,57,60,63,62,54,59,54,61,53,60,53,55,55,58,212
8APWMC,2021,67,59,57,62,50,59,59,57,58,54,56,62,62,58,64,76,59,68,65,62,57,60,54,60,58,67,56,52,61,56,212
JLL78Q,2021,65,63,66,61,65,60,59,61,71,65,59,57,64,61,61,58,62,52,55,67,64,69,62,68,69,55,62,58,62,66,212
FZCMS8,2021,66,61,69,60,59,50,57,58,56,51,56,62,65,54,62,60,64,58,56,64,57,62,57,61,59,60,59,65,60,58,212
GWUVPY,2021,52,66,54,54,63,54,62,62,53,52,58,53,52,52,58,57,60,63,54,54,54,54,56,52,60,56,52,61,52,56,212
WDLWDF,2021,64,60,60,75,59,58,61,65,67,70,65,65,74,72,67,67,63,67,69,70,60,64,58,72,63,73,65,53,63,67,212
W8EXTE,2021,65,58,62,64,65,62,59,64,62,56,64,61,60,64,67,57,61,64,65,64,60,58,58,58,62,62,59,60,61,63,212
