SSID,Year,OtherTopic,Data,Security,Application,Infra,FrontEnd,BackEnd,SaaS,Community,StartUp,Enterprise,Academic,AI/ML,Mobile,DevOps,Programming,Blockchain/Web3,Testing/QA,Design,Hardware/IoT/Maker,GIS/Mapping,CivicTech,FinTech/DeFi,EdTech,Telecom/5G,DevLifestyle,Multimedia/CreativeTech,MyData/PersonalData,Culture/Localization,Legal/Policy,SessionCount
JGTGC7,2022,65,55,57,60,56,52,54,60,58,51,61,59,59,54,60,56,53,59,59,58,54,55,52,55,53,55,57,50,55,57,295
AGBPMH,2022,66,56,58,57,48,54,56,52,57,54,56,59,56,54,58,62,56,64,57,57,54,58,52,54,53,61,49,51,56,55,295
VPERD8,2022,64,55,64,59,60,52,51,57,67,65,65,59,59,53,63,50,62,55,59,60,57,61,59,61,56,63,64,62,67,64,295
THZXGY,2022,71,65,70,60,69,54,57,63,69,59,62,65,63,62,63,54,67,61,60,62,66,74,63,62,69,60,64,66,63,66,295
MLQBEL,2022,54,53,50,61,52,57,61,58,56,55,52,54,55,58,57,65,55,60,58,60,52,51,54,62,54,59,57,49,53,60,295
ZDL7PV,2022,60,57,73,57,59,59,61,57,59,55,60,58,57,58,62,58,65,61,59,58,58,59,62,60,63,66,54,57,59,61,295
SEGNCV,2022,69,69,67,63,71,52,53,60,70,62,64,65,67,64,68,55,66,63,60,66,68,75,65,64,68,65,66,66,62,64,295
XSATTW,2022,55,56,52,58,63,52,62,62,60,53,56,56,56,52,62,56,55,59,60,62,62,54,59,63,57,56,59,58,53,62,295
HPTAUB,2022,66,60,60,61,73,53,65,69,66,62,58,65,59,59,65,55,68,62,60,65,62,60,61,60,64,63,60,58,56,62,295
N93LDZ,2022,58,50,52,56,52,58,56,56,51,55,61,54,58,57,55,56,51,56,63,57,55,53,54,50,57,58,57,53,52,54,295
NMSVGS,2022,62,58,60,65,73,59,66,68,64,64,58,60,57,61,65,58,66,60,62,64,65,59,59,66,71,62,61,59,55,60,295
TDR7SM,2022,62,63,61,67,56,62,60,61,61,58,61,63,63,61,61,68,57,67,69,62,61,62,54,65,66,67,67,54,60,59,295
RMRBPH,2022,61,65,62,62,67,57,62,61,79,71,60,60,63,63,66,58,62,55,57,64,66,65,60,67,66,62,60,61,66,67,295
KWTQRF,2022,65,64,63,69,63,63,64,65,70,66,60,65,66,65,68,63,64,71,65,71,68,67,61,76,63,68,65,58,63,73,295
CGETTM,2022,59,56,55,65,59,65,58,60,55,59,55,55,63,62,58,54,61,59,59,64,59,56,58,60,58,58,62,60,57,52,295
QPDLET,2022,65,64,64,65,68,56,67,65,61,60,60,63,71,64,64,62,68,63,62,75,62,65,62,67,66,66,69,60,61,65,295
VQABJF,2022,61,58,54,58,54,64,64,57,59,57,56,60,53,57,64,68,57,61,61,61,57,55,57,57,58,64,52,51,56,53,295
LWCM3T,2022,62,61,59,61,55,56,62,59,57,54,59,61,63,57,66,67,59,64,62,66,57,58,58,62,61,67,57,54,56,56,295
QNGTP9,2022,62,58,58,64,64,63,61,63,76,65,59,64,63,61,60,59,61,53,60,67,60,67,60,78,61,65,66,56,66,66,295
WTDBSU,2022,61,56,57,57,50,53,57,57,53,54,54,53,55,56,60,68,55,58,57,56,54,54,55,58,61,59,52,52,52,50,295
TCTDL9,2022,68,53,55,61,54,61,63,58,56,60,56,57,62,61,60,72,58,63,65,59,55,53,54,59,62,67,54,52,56,62,295
KWFMZ7,2022,64,64,62,72,64,82,78,68,62,65,62,65,64,74,66,67,66,67,69,69,63,63,64,69,64,65,59,56,57,57,295
9HRTEC,2022,61,75,65,61,72,57,65,70,63,58,66,60,57,59,68,58,66,65,62,65,69,61,64,59,70,64,59,68,54,63,295
SCE8YR,2022,54,69,55,63,67,57,62,64,59,55,53,60,53,60,63,58,59,59,53,61,61,58,52,63,56,58,59,59,57,64,295
YJHXGE,2022,64,67,67,60,67,60,65,60,65,61,60,60,72,63,60,63,68,60,61,66,69,64,63,70,74,68,65,63,63,63,295
R3GDVM,2022,60,61,64,61,58,61,67,60,54,55,51,58,63,61,64,64,60,70,63,62,61,60,57,63,60,60,56,63,53,61,295
VPGS8E,2022,62,60,57,66,64,66,65,65,84,66,60,60,60,65,63,61,58,54,62,64,64,65,56,68,62,65,64,58,64,66,295
NA38Q3,2022,58,63,68,64,63,61,67,62,57,52,61,62,61,59,66,61,67,67,66,62,61,60,63,61,63,61,57,68,54,66,295
B3TC3M,2022,64,74,68,65,75,59,67,72,67,55,66,61,67,67,66,63,68,62,67,70,70,67,62,67,71,62,66,66,64,70,295
8RYEGK,2022,60,67,66,70,75,65,67,67,73,67,66,61,69,66,65,61,72,61,62,78,61,72,69,71,69,72,72,69,66,68,295
KYPNGM,2022,63,55,56,61,58,59,62,60,58,52,59,60,55,57,63,65,55,61,67,63,53,53,54,54,59,65,55,54,55,55,295
PFTEEU,2022,57,60,52,59,58,53,56,60,59,53,55,56,59,55,59,60,51,55,59,64,65,53,56,62,60,57,63,54,56,60,295
8EUCHX,2022,60,54,54,59,59,56,60,61,62,54,57,57,53,59,60,48,59,54,58,56,55,58,58,53,58,53,57,57,59,56,295
SMPNE8,2022,59,58,58,59,58,55,57,62,53,55,58,53,69,59,56,59,61,60,61,63,59,56,54,56,60,59,65,59,51,54,295
UVMFWZ,2022,66,65,65,68,72,64,59,67,76,68,64,70,63,66,60,51,68,58,64,65,68,72,62,68,70,64,73,67,65,60,295
DKBSA3,2022,64,68,65,62,69,64,68,65,68,58,61,62,69,67,68,58,69,62,66,70,67,67,61,65,63,62,60,71,62,66,295
8BANG8,2022,66,65,63,64,74,60,63,69,62,59,62,58,65,65,64,59,67,62,61,72,65,64,65,67,81,60,65,60,56,64,295
CXXJFK,2022,58,55,55,52,58,56,57,55,68,60,52,56,52,55,56,46,58,47,50,54,55,61,59,58,58,51,57,57,57,53,295
G8FQZZ,2022,64,57,71,59,61,54,57,59,64,59,59,59,61,53,61,52,64,57,54,61,55,65,61,58,60,64,63,58,55,56,295
T7FWXU,2022,57,56,53,65,57,60,61,64,55,54,53,55,58,59,65,73,58,61,65,63,55,53,55,56,59,61,59,52,57,60,295
TXUYK7,2022,58,58,49,66,54,64,60,61,56,60,57,55,66,62,55,67,53,61,67,62,62,53,52,58,54,65,63,51,57,54,295
MSCQR7,2022,58,55,50,52,52,47,50,47,53,50,47,53,49,52,53,54,54,49,48,54,61,49,50,53,52,50,48,54,56,47,295
SLCHV3,2022,63,67,60,63,68,50,56,60,67,63,63,59,64,61,67,58,62,60,59,60,69,68,59,63,64,60,57,64,65,61,295
9GCT8Y,2022,61,63,59,62,62,61,61,63,66,61,55,59,55,61,58,57,57,61,58,56,66,59,54,65,62,60,56,57,56,63,295
YHTTMH,2022,57,57,54,63,63,57,64,63,60,60,58,62,57,56,65,61,59,64,59,66,57,57,61,64,63,63,62,53,52,58,295
GPZL8J,2022,66,62,67,61,71,64,63,66,77,64,60,63,60,61,62,56,68,57,63,66,65,68,64,63,65,62,64,59,65,70,295
NPGDNS,2022,62,61,62,64,60,58,67,65,54,54,64,60,62,63,68,67,68,64,69,65,61,55,61,58,62,62,60,63,58,61,295
FPSJTC,2022,63,62,61,56,65,58,56,60,75,64,64,65,60,60,63,53,60,53,60,64,61,65,61,63,65,61,61,60,65,65,295
RP9YCK,2022,59,56,56,52,58,55,57,56,67,60,53,56,53,55,56,48,60,47,50,55,55,62,59,58,59,51,58,58,57,53,295
CMX8SB,2022,61,55,58,56,55,57,55,54,68,60,54,57,54,55,57,50,59,48,52,56,55,62,58,60,56,55,61,56,62,54,295
UVPVQC,2022,65,57,63,60,63,51,53,59,68,59,62,62,51,57,64,53,64,55,58,60,59,63,63,58,63,61,58,60,63,60,295
JQZXVN,2022,58,58,52,63,54,68,62,58,57,55,58,57,56,61,57,64,55,61,63,58,60,56,55,61,58,59,54,55,56,52,295
3D3HUT,2022,57,53,49,56,59,55,58,59,56,54,61,52,55,53,65,54,53,54,65,61,52,51,53,49,52,55,54,50,52,53,295
TDUXC3,2022,59,64,63,60,68,60,66,68,61,67,68,55,64,62,68,57,71,62,63,65,56,64,68,61,65,61,61,67,55,60,295
8DNJXA,2022,60,62,60,59,61,64,67,64,61,59,54,58,62,61,68,65,68,58,63,69,60,54,64,60,68,60,64,60,59,60,295
GMLHWP,2022,55,52,51,62,61,53,62,62,59,49,57,56,51,58,61,62,58,57,62,60,57,51,54,54,59,57,56,51,56,57,295
LG7Q7E,2022,62,61,59,61,62,57,58,67,60,65,63,57,61,57,66,57,59,66,62,63,63,56,59,61,65,62,58,58,55,60,295
8WTFTY,2022,59,55,54,58,55,58,60,56,63,70,62,60,54,58,68,64,58,61,65,64,54,57,58,55,57,70,51,54,61,58,295
EPCXSH,2022,67,61,54,67,68,56,59,64,73,62,64,67,58,60,69,60,60,62,64,71,64,65,62,71,66,60,70,54,67,63,295
BLRFES,2022,61,62,63,55,61,55,58,61,62,58,54,55,65,55,65,53,66,57,54,64,57,64,69,62,67,59,65,62,56,68,295
WZRL3N,2022,67,69,77,69,75,64,70,73,73,66,66,61,68,69,73,64,79,66,67,80,69,70,74,73,79,67,69,66,63,78,295
7WURSA,2022,57,58,53,53,54,50,51,53,49,51,56,50,50,50,53,54,55,53,51,47,51,52,56,51,54,49,50,55,50,51,295
VDWQPX,2022,57,55,54,65,54,59,63,61,51,56,60,58,61,59,65,65,56,65,68,67,54,52,55,59,57,61,63,54,52,56,295
LGMK9R,2022,60,60,63,68,62,64,63,63,74,68,58,63,61,63,61,62,76,58,70,69,60,62,66,63,66,63,65,60,64,61,295
AYRKWP,2022,56,52,54,63,61,60,64,62,62,57,57,58,56,60,65,61,56,63,71,68,62,54,57,62,57,59,60,55,57,58,295
KLKBNK,2022,68,59,60,59,60,51,55,56,67,59,58,63,58,58,59,54,63,55,54,65,59,65,63,61,65,62,63,57,64,59,295
TEHYXC,2022,58,56,54,67,56,54,56,58,56,50,55,60,56,57,63,72,54,61,64,63,55,53,55,56,53,62,59,49,53,56,295
AGCMDJ,2022,58,55,54,61,59,50,57,59,54,56,57,58,51,54,65,57,53,60,61,61,57,54,54,51,57,57,48,50,49,48,295
AWZFEW,2022,59,63,66,57,72,59,64,67,61,58,62,55,59,58,69,57,69,58,57,66,63,65,65,61,66,58,61,63,58,65,295
TN7KSF,2022,66,62,63,61,70,55,60,65,61,63,57,62,58,58,67,54,69,59,56,65,60,63,67,66,66,61,61,60,54,61,295
TP3NYR,2022,69,66,60,65,66,61,63,65,66,68,64,70,78,65,68,65,64,64,71,78,64,62,65,71,66,75,72,57,65,67,295
NYUAKX,2022,57,55,48,60,55,58,64,60,50,56,56,55,65,58,60,66,57,64,60,57,56,52,56,61,60,62,59,52,51,60,295
KDFCC3,2022,55,52,51,49,56,51,54,51,48,44,54,55,45,50,53,51,55,48,53,51,54,52,56,50,55,48,50,51,51,45,295
W3QBYT,2022,62,64,56,63,59,62,71,64,58,60,58,61,70,66,66,68,60,67,62,67,62,55,58,63,67,68,63,55,61,59,295
DEV3VC,2022,63,65,67,62,66,59,59,64,70,62,61,63,58,62,67,59,68,58,62,68,63,66,63,68,64,64,63,62,63,64,295
W3HFXN,2022,55,66,62,67,61,65,67,62,55,52,56,57,54,66,58,61,60,59,60,60,60,58,60,63,63,58,55,61,51,54,295
ZCTMES,2022,55,62,59,63,63,56,57,61,62,55,55,53,60,60,60,54,58,55,56,62,70,58,51,59,56,60,63,63,56,62,295
MMHYXY,2022,52,49,51,51,50,54,56,56,50,53,52,51,47,52,53,48,50,53,52,45,49,51,49,49,57,49,47,52,50,47,295
WHDBZH,2022,56,59,60,67,63,57,61,62,66,64,57,58,60,61,60,61,61,58,58,65,58,61,56,61,56,61,59,57,56,57,295
AXW7EY,2022,64,55,57,57,58,58,57,55,67,57,56,60,54,56,64,54,59,58,60,59,57,61,58,54,55,59,58,56,59,55,295
VTGDPT,2022,68,61,60,63,62,63,66,62,62,59,57,61,60,57,63,65,64,61,60,65,57,60,61,64,57,66,61,61,56,57,295
YDUU88,2022,59,56,54,67,57,66,68,61,62,62,57,56,63,66,61,70,58,61,63,66,56,59,58,65,59,68,65,53,58,60,295
BAAAJE,2022,62,58,56,61,55,62,56,61,62,62,57,55,59,62,60,56,61,52,60,57,58,58,52,54,59,62,58,58,59,58,295
ESQUUF,2022,63,58,64,64,60,52,54,60,67,60,59,55,59,57,57,60,59,63,61,59,64,61,56,64,63,66,66,54,59,69,295
PCFZYM,2022,61,60,56,64,64,60,69,65,59,53,64,61,65,64,66,61,59,70,69,71,62,61,59,61,60,63,64,55,57,57,295
XVLRMV,2022,63,56,63,51,58,54,54,53,61,53,57,59,55,53,55,52,59,47,51,57,58,61,60,59,60,52,54,58,67,58,295
URPCTG,2022,59,53,59,59,64,53,68,61,58,51,55,56,53,59,67,64,61,61,60,60,57,56,62,56,64,60,56,52,52,56,295
BPL3ZZ,2022,60,59,55,55,60,53,66,57,51,51,56,62,55,54,64,61,60,64,60,63,54,56,58,53,60,62,53,53,51,52,295
CWP3DG,2022,64,55,53,63,56,60,57,56,70,61,54,60,56,58,61,56,58,61,68,62,60,57,53,61,56,64,61,56,58,57,295
BQCZLE,2022,57,62,60,59,66,56,61,65,61,57,60,55,62,55,66,55,67,60,60,64,56,58,61,59,66,61,63,68,56,72,295
CJL7XN,2022,65,66,59,59,64,59,64,64,74,68,61,65,63,58,69,59,62,63,63,66,61,66,59,62,60,71,62,56,63,64,295
DFDFL7,2022,59,57,53,55,61,56,59,60,55,58,60,55,51,57,62,52,58,55,60,59,58,52,57,55,63,57,55,55,53,55,295
CUD7ZW,2022,64,63,55,62,63,52,61,60,71,70,64,62,63,62,63,59,58,61,62,64,60,63,61,63,64,72,59,53,63,61,295
TN7NJQ,2022,60,65,57,58,54,56,54,57,52,52,57,56,59,53,58,58,56,58,56,52,60,52,56,58,56,55,51,56,50,54,295
URSLSK,2022,62,56,54,60,57,57,61,59,60,55,55,64,66,56,65,64,54,61,59,62,52,56,54,66,59,64,61,55,57,56,295
WKYAKQ,2022,58,55,53,62,56,56,56,57,57,55,61,61,60,54,65,55,54,57,67,66,53,54,50,53,50,59,56,51,56,55,295
P739AS,2022,54,54,53,64,54,60,57,59,56,58,54,51,61,65,60,64,56,58,60,59,59,57,53,61,56,61,62,55,60,50,295
8KPCJV,2022,63,70,66,68,71,59,63,64,76,60,59,57,67,67,63,62,67,59,58,70,83,73,63,73,67,61,63,66,64,68,295
DACGVL,2022,60,62,62,67,66,63,66,68,62,56,63,60,62,65,67,63,69,66,70,72,62,59,64,67,64,61,64,60,57,63,295
9LNVTB,2022,61,59,60,67,57,59,60,60,61,55,57,56,64,67,64,77,61,62,62,68,58,61,60,68,63,63,62,54,62,58,295
Y8SLTY,2022,58,55,56,52,58,56,57,56,68,60,53,56,53,55,57,47,58,47,50,54,55,61,59,58,59,51,57,57,57,53,295
R7RGD7,2022,56,57,58,59,63,63,67,60,58,51,54,55,59,58,62,67,61,60,59,64,55,55,60,62,64,61,61,59,59,61,295
8X3FJG,2022,65,62,60,68,69,60,65,64,75,62,60,62,59,66,67,62,62,64,63,71,67,67,58,68,71,61,62,55,58,64,295
YFUQ9L,2022,63,77,73,61,75,55,64,64,73,60,62,61,64,61,66,55,69,61,59,69,73,76,68,70,71,59,60,75,63,72,295
Y9QC7L,2022,63,65,66,68,65,59,62,64,77,69,66,63,67,68,67,67,65,56,62,73,65,73,64,73,72,64,68,57,74,71,295
DDGUUA,2022,64,72,62,71,69,66,70,70,69,65,66,64,67,66,71,71,66,69,71,70,69,62,63,67,66,79,68,64,64,71,295
FYERQS,2022,62,53,55,54,54,52,51,51,63,55,55,55,54,51,57,55,59,50,54,58,49,56,57,53,60,51,57,54,60,53,295
9EZNGR,2022,64,68,66,59,70,57,68,60,73,58,59,57,62,61,67,64,66,60,61,62,74,68,62,68,65,59,58,68,66,66,295
DBP8BU,2022,62,58,58,63,67,64,67,65,66,61,59,62,59,63,67,60,60,63,64,64,61,63,62,73,64,58,63,54,57,63,295
ETQJQZ,2022,65,65,60,66,55,57,60,62,63,60,58,59,63,60,67,75,63,63,66,66,61,60,57,66,59,66,63,57,61,57,295
3NHELJ,2022,63,57,59,54,59,55,55,57,66,62,57,58,53,58,62,48,61,50,55,55,61,62,57,55,60,56,54,58,58,57,295
K98GTJ,2022,59,59,56,62,51,57,59,59,54,59,55,62,60,54,62,67,58,83,62,60,52,52,56,61,57,68,57,51,51,62,295
9LV9BV,2022,59,48,51,45,52,51,49,47,54,49,48,54,57,53,51,57,49,47,45,54,53,50,48,57,50,49,53,45,63,48,295
78LHTD,2022,54,57,59,53,46,71,55,50,53,59,51,59,55,52,58,59,57,57,58,58,50,56,57,59,55,60,57,55,57,55,295
CB9US7,2022,61,58,59,64,64,58,67,60,65,59,61,62,58,60,68,61,59,60,66,72,55,59,58,61,61,65,58,53,58,59,295
DNJRLQ,2022,56,64,53,55,65,53,62,62,58,57,62,54,54,51,62,61,59,61,60,57,57,53,58,53,61,57,51,61,50,57,295
3NHE8Q,2022,62,62,61,69,60,68,64,67,76,74,66,61,61,67,66,63,60,62,68,64,62,67,61,68,60,72,63,60,62,67,295
KML3VC,2022,62,61,64,60,64,57,62,63,64,61,62,62,56,59,67,63,68,57,60,67,58,60,63,60,64,61,60,60,60,61,295
EFTVFL,2022,62,64,65,62,70,56,62,63,70,58,60,61,62,64,69,60,61,62,63,69,68,66,60,65,73,59,62,60,57,66,295
33RNKA,2022,61,66,64,56,64,58,65,58,58,53,55,57,59,59,60,60,63,61,59,60,68,59,57,59,60,57,55,63,59,59,295
TY8UF8,2022,72,72,68,66,69,55,58,61,73,62,62,65,67,62,65,54,66,60,58,69,70,73,63,74,66,64,69,69,65,71,295
ATFBUC,2022,59,61,60,54,56,57,66,57,49,52,58,56,62,58,62,61,60,58,55,61,56,55,61,57,58,60,53,54,52,52,295
YA9GVH,2022,69,76,66,68,70,58,59,62,68,59,63,68,66,64,63,54,67,62,61,70,72,70,63,71,64,65,72,72,68,67,295
UVRVUR,2022,60,68,61,61,71,53,61,64,62,59,62,61,68,61,65,57,60,65,58,65,68,63,61,67,60,62,61,60,56,65,295
3XVF8J,2022,60,58,57,62,57,53,56,59,53,55,55,65,59,51,64,60,57,72,63,66,48,55,56,57,57,68,56,53,50,57,295
K7VGTT,2022,61,57,56,66,54,58,54,60,57,58,58,67,64,59,58,58,57,64,61,63,57,58,57,65,57,64,60,58,55,56,295
ZFDLJR,2022,55,65,53,65,60,67,68,65,57,57,57,55,56,58,60,67,58,63,65,58,59,54,56,56,60,62,63,59,51,58,295
FGKT9J,2022,61,59,63,62,69,63,70,64,60,58,55,57,59,63,68,64,72,64,61,68,59,55,58,64,67,60,59,57,56,63,295
PAYSES,2022,63,62,55,64,65,59,64,62,61,57,62,63,63,61,69,67,60,63,65,72,58,58,62,62,68,64,63,55,57,56,295
RAYSXN,2022,65,63,55,66,60,56,60,72,58,66,69,59,60,60,68,61,63,69,70,67,60,57,62,57,62,64,65,60,55,60,295
HUJMQT,2022,64,52,52,64,55,56,56,56,62,61,60,58,57,58,65,62,59,60,64,60,57,55,55,59,63,63,66,50,62,61,295
GTKRYJ,2022,54,60,57,67,58,59,67,62,55,56,56,58,65,61,62,70,60,65,66,63,58,55,60,62,58,62,60,58,55,58,295
7399EL,2022,60,62,54,65,52,63,64,59,53,54,59,57,64,60,60,70,53,70,67,58,61,56,54,64,52,64,54,53,52,54,295
C7E3ZG,2022,67,72,67,74,72,57,66,71,75,67,71,68,72,67,72,64,69,67,67,77,66,72,70,75,72,71,71,65,66,74,295
FVGVZH,2022,68,59,57,65,60,50,50,58,59,53,58,62,59,58,59,57,57,63,56,64,64,56,56,62,57,62,61,57,60,59,295
YZSYKC,2022,58,63,60,72,57,60,60,60,66,64,58,63,66,69,66,71,61,77,63,68,63,66,59,72,58,63,61,56,63,65,295
PXJNFZ,2022,59,52,57,58,59,53,64,62,59,55,58,53,52,61,65,60,63,60,60,59,56,52,56,54,61,59,52,58,58,64,295
XKKSNH,2022,52,52,55,60,67,58,62,61,58,54,53,57,55,59,60,56,60,56,64,68,58,56,62,55,73,57,64,51,51,53,295
W3AE8E,2022,61,61,61,68,61,60,67,67,61,62,63,59,62,64,68,68,64,68,68,65,61,58,60,61,67,66,60,57,56,60,295
SYWYNR,2022,62,64,58,61,55,59,58,55,54,62,50,61,60,58,59,64,61,79,59,62,60,56,56,66,57,61,56,60,50,58,295
BREBMX,2022,62,68,65,65,69,60,63,63,85,67,64,65,68,65,65,57,64,56,60,69,66,73,66,77,69,64,65,60,68,70,295
JDMYCD,2022,60,61,58,62,63,57,60,60,64,49,54,55,65,64,64,65,58,56,58,66,62,59,56,63,61,59,67,56,66,64,295
KPTPRD,2022,62,64,63,62,62,60,59,60,78,68,55,60,64,61,65,61,60,56,61,65,66,66,55,72,63,60,63,60,66,63,295
YVDMAH,2022,67,68,62,73,68,62,70,67,80,71,64,66,70,68,73,70,65,69,68,76,69,71,63,77,66,78,70,56,67,73,295
8VGVF8,2022,66,56,58,63,62,60,59,63,75,64,59,62,56,63,65,58,60,58,61,65,65,67,61,69,60,63,66,55,67,66,295
FDVNW3,2022,60,61,58,68,63,66,62,65,55,54,62,60,59,63,62,61,59,60,64,69,58,59,54,54,62,60,62,55,55,56,295
DLUS7B,2022,60,66,57,68,74,66,69,67,63,56,60,61,59,66,68,59,65,63,64,70,71,64,58,64,64,65,65,63,62,61,295
URRHGP,2022,67,62,66,65,67,51,55,65,63,59,67,63,64,65,67,53,61,63,61,62,63,64,63,60,65,61,62,60,59,70,295
X3XL3D,2022,61,65,60,67,76,63,75,73,71,60,63,59,64,66,72,66,71,63,68,75,66,65,69,67,79,63,68,62,59,67,295
TBC8JU,2022,57,50,56,52,56,52,61,56,54,56,54,54,56,52,66,54,54,65,63,60,54,50,55,51,59,57,52,55,51,57,295
JLFGYC,2022,60,55,55,59,63,53,60,62,55,48,53,53,51,59,57,53,61,53,52,57,57,57,54,59,63,52,62,52,53,56,295
3QNTQT,2022,66,64,63,72,62,70,62,67,66,65,65,69,63,66,70,66,67,78,67,71,60,65,63,70,68,71,70,60,65,67,295
TWTPNA,2022,62,60,62,62,72,57,64,68,77,71,61,65,58,61,68,56,68,57,60,66,61,65,64,62,65,65,62,60,60,67,295
SMHLTX,2022,66,66,61,65,67,63,61,67,72,76,66,58,61,65,62,57,66,59,62,70,64,64,66,73,77,67,64,57,62,63,295
X8HNXU,2022,68,63,60,60,57,61,61,54,69,55,56,74,57,58,63,64,58,59,61,70,57,64,58,59,61,69,63,54,59,55,295
SLATUT,2022,63,59,57,66,61,58,60,64,56,56,61,61,70,66,59,64,61,62,65,60,59,60,53,66,61,59,65,59,66,62,295
WDLF8P,2022,66,61,62,71,66,66,67,69,69,64,60,62,62,68,68,62,64,68,71,68,65,65,57,67,64,66,65,60,60,68,295
7CPAR7,2022,55,60,56,68,65,64,72,65,66,60,58,59,59,66,63,63,64,63,64,66,60,60,56,62,60,63,58,56,59,58,295
R9CARG,2022,63,64,62,58,75,54,63,65,78,65,61,61,59,60,60,51,68,53,57,62,64,69,62,61,69,61,62,64,65,64,295
X3YWKM,2022,63,70,63,62,70,54,57,64,72,65,64,61,67,61,64,53,64,58,57,65,68,67,59,67,60,64,63,65,64,66,295
QFVL88,2022,63,70,66,56,66,65,61,61,67,56,56,65,63,54,61,62,64,57,59,63,64,64,57,69,57,62,58,60,61,66,295
MMWARS,2022,67,62,65,67,67,61,67,64,85,63,63,65,63,65,68,66,65,56,61,72,64,69,64,74,69,62,66,60,70,69,295
BVUBQW,2022,69,67,65,72,64,59,64,66,65,62,67,63,70,64,73,72,66,72,67,69,66,63,69,69,68,75,70,59,64,66,295
NEAVW9,2022,60,61,56,54,59,53,63,56,56,58,55,59,58,58,65,61,58,57,58,54,57,56,53,57,69,58,55,58,55,60,295
VQCJUP,2022,61,65,61,58,62,52,55,59,52,52,61,59,58,51,63,52,60,59,55,61,63,58,60,58,58,60,56,64,53,58,295
DVSRME,2022,58,63,62,61,57,61,63,60,54,59,57,57,72,60,64,64,67,66,59,65,61,59,62,66,60,63,65,63,56,61,295
E3VDJX,2022,62,59,57,66,64,58,65,67,58,56,65,60,64,61,67,63,58,64,66,69,58,56,58,64,63,66,65,58,57,63,295
GWLJ79,2022,66,62,60,60,61,53,58,58,66,63,59,63,55,55,66,61,63,61,60,66,59,61,56,61,61,64,58,58,59,55,295
MRNTPK,2022,66,68,60,63,68,63,65,68,75,72,66,63,65,62,69,60,65,65,65,69,64,66,64,66,68,71,65,56,63,66,295
NDG9GT,2022,58,60,61,61,69,68,70,65,58,56,57,59,55,63,67,62,66,59,63,67,67,57,60,61,66,58,60,62,56,59,295
TEYN89,2022,63,63,57,67,63,58,70,62,58,56,60,61,60,60,69,70,63,68,64,66,60,58,62,60,63,70,61,56,55,58,295
HHWKMW,2022,57,55,65,57,58,59,64,57,57,60,57,59,62,61,69,60,65,61,59,66,57,61,63,60,67,63,59,58,60,58,295
8CKEL7,2022,67,81,64,69,71,59,65,69,67,61,67,66,65,64,71,66,66,68,69,67,68,65,60,64,67,71,64,72,58,66,295
9KANAX,2022,57,55,55,67,56,62,59,61,53,59,57,54,65,67,57,57,62,60,61,63,56,59,58,62,66,59,66,57,53,51,295
RU3ZWC,2022,66,50,57,56,53,59,57,54,59,61,50,56,55,56,61,64,61,55,56,58,51,54,52,60,58,58,54,51,58,55,295
RWGSPP,2022,60,66,61,62,59,61,64,61,69,63,60,69,70,60,60,61,58,60,62,65,62,61,59,74,64,67,64,58,63,65,295
R8BJTS,2022,56,57,55,58,52,58,58,56,48,54,54,59,67,58,53,56,52,52,62,60,55,57,50,54,53,61,62,55,48,48,295
FNDVB3,2022,67,71,71,63,72,62,63,65,70,56,63,62,64,65,67,62,67,63,63,64,75,75,64,67,64,59,63,67,68,67,295
3C3VPT,2022,67,69,72,63,71,65,63,67,79,69,62,73,63,61,63,52,76,61,63,68,67,74,64,71,68,66,63,66,64,67,295
WH3X8U,2022,61,57,55,63,54,55,58,60,56,58,63,63,61,54,65,69,57,65,64,66,54,56,56,56,60,70,61,48,59,58,295
GWWSLW,2022,61,59,62,67,58,69,58,63,58,54,59,66,63,63,62,62,63,62,65,68,59,60,58,66,58,63,65,54,61,61,295
VRHMGG,2022,61,75,62,55,61,52,57,57,54,51,60,61,66,52,64,60,56,63,58,57,61,56,58,61,61,62,53,64,53,58,295
9QS3RF,2022,54,55,54,60,53,66,61,57,56,60,52,58,63,59,63,77,56,58,64,63,53,53,56,60,59,62,59,52,63,56,295
8BE7QE,2022,55,65,56,56,65,55,63,58,61,57,63,55,57,56,60,56,60,57,57,57,57,56,56,54,57,57,57,59,54,52,295
QQVQ3D,2022,71,74,66,68,67,63,59,63,71,66,67,67,68,66,67,62,66,71,69,71,72,72,66,76,65,69,69,65,68,66,295
WZGMT3,2022,61,56,59,59,67,54,63,64,59,56,58,61,58,54,65,56,61,59,63,70,56,54,58,60,68,61,65,57,55,64,295
JMJGYL,2022,69,67,63,66,65,52,58,59,65,65,65,73,68,61,67,59,62,60,59,72,63,69,65,73,68,71,66,57,67,59,295
ZKKAC9,2022,63,58,55,61,61,62,64,60,61,59,58,60,61,62,62,70,61,62,62,65,57,53,56,63,67,64,62,55,60,58,295
SRKVLQ,2022,59,76,66,70,71,59,63,64,74,59,58,58,63,66,68,61,68,63,63,70,69,68,59,70,64,64,64,75,63,68,295
Y3PFWD,2022,61,68,67,59,72,54,59,67,62,56,64,60,68,60,67,53,69,58,58,65,62,67,62,60,66,59,62,72,57,67,295
AVNXXQ,2022,59,58,58,59,68,62,66,69,61,56,61,52,53,60,67,55,64,59,60,61,61,61,58,59,62,56,56,62,56,62,295
