year,0,1,2,3,4,5,6,7
2020,7.8125,9.765625,8.984375,21.09375,6.640625,7.421875,18.75,19.53125
2021,8.962264150943396,14.150943396226415,6.132075471698113,17.452830188679243,9.90566037735849,2.358490566037736,23.11320754716981,17.92452830188679
2022,9.830508474576272,11.864406779661017,9.830508474576272,15.932203389830507,11.186440677966102,1.694915254237288,16.271186440677965,23.389830508474578
2023,15.625,15.909090909090908,7.670454545454546,14.772727272727273,7.954545454545454,3.125,18.75,16.193181818181817
2024,18.12688821752266,18.12688821752266,3.927492447129909,15.407854984894259,7.854984894259818,3.3232628398791544,17.522658610271904,15.709969788519636
