_SSID,Year,OtherTopic,Data,Security,Application,Infra,FrontEnd,BackEnd,SaaS,Community,StartUp,Enterprise,Academic,SessionCount
TP3EHV,2020,64,57,54,61,65,57,60,59,60,57,64,56,256
ZBQH7X,2020,60,61,57,59,58,59,58,55,59,54,60,54,256
FDXMJQ,2020,62,66,60,61,60,59,59,60,63,61,64,64,256
PZPMCR,2020,68,61,61,66,73,62,65,64,68,60,67,57,256
RZS8VM,2020,64,63,58,63,68,59,63,60,70,63,66,59,256
QXWQNC,2020,68,59,57,60,62,58,59,54,63,57,60,57,256
7DZV3N,2020,63,60,58,63,71,61,62,60,60,59,64,54,256
8JXAZA,2020,64,58,55,69,59,60,59,57,62,57,59,55,256
YFSUPA,2020,62,62,55,65,63,64,65,61,70,61,63,57,256
KNJDWQ,2020,61,55,51,66,59,62,63,59,64,59,59,54,256
AJK7LH,2020,61,69,60,58,67,59,63,60,61,57,65,56,256
S3WJHX,2020,66,59,55,65,63,68,63,59,67,60,62,57,256
L779NW,2020,61,65,60,64,59,61,63,57,65,59,60,57,256
YKJKAR,2020,62,58,54,60,56,56,58,55,60,55,59,55,256
P3YRK9,2020,64,61,66,60,62,58,59,57,67,62,60,60,256
EXBECY,2020,65,59,55,62,60,60,60,59,58,56,59,53,256
PW8PYW,2020,64,61,54,61,62,58,65,61,61,57,62,56,256
NAKH73,2020,65,54,54,59,58,58,58,54,67,54,58,58,256
P8ZS9V,2020,61,55,53,59,58,60,57,55,65,63,57,58,256
AEYX7M,2020,62,54,58,57,57,58,56,55,63,63,56,60,256
UB9QKD,2020,63,60,62,62,62,58,58,60,69,65,59,64,256
A9ZFQ3,2020,65,66,58,60,63,61,64,60,59,58,60,59,256
LEVGSN,2020,56,55,52,52,50,53,54,50,58,52,53,56,256
7FBTCK,2020,59,62,53,57,59,55,59,54,56,53,61,51,256
3RQG9B,2020,62,60,55,58,61,62,58,55,59,57,57,58,256
NLE8YE,2020,68,57,56,68,64,64,61,60,71,62,63,59,256
YXSSXV,2020,64,61,64,61,61,58,58,60,71,63,59,61,256
ZMVFK8,2020,61,59,56,61,59,59,59,57,61,57,61,58,256
8RRBCQ,2020,65,61,61,63,70,63,64,62,63,61,63,58,256
KNSTGA,2020,67,58,56,63,61,62,59,59,67,65,61,59,256
AMPDAN,2020,59,49,51,57,51,57,51,52,53,56,52,52,256
MBUSWC,2020,63,56,53,59,57,57,59,53,61,55,59,58,256
W3SFGQ,2020,59,57,58,57,61,57,58,56,65,58,60,56,256
MBL7YT,2020,66,57,57,61,62,59,58,55,70,62,60,57,256
FA97AW,2020,66,62,56,64,62,60,59,59,70,62,60,64,256
SHCPS8,2020,62,61,61,62,60,59,57,58,71,60,58,64,256
TTMBKC,2020,64,57,55,64,59,60,55,56,62,58,54,56,256
JC8ZML,2020,64,60,54,62,61,59,57,56,63,61,61,56,256
TSLRJB,2020,64,56,52,58,59,64,60,56,63,59,56,56,256
EKR8VZ,2020,64,62,61,64,61,65,66,56,63,57,63,57,256
VNURXP,2020,66,62,55,58,56,59,60,56,59,58,58,60,256
QVZSZT,2020,57,63,54,61,60,59,68,61,58,56,60,53,256
J8S8GJ,2020,66,57,53,68,63,64,57,58,66,60,60,57,256
CFNNFA,2020,64,55,52,62,57,58,58,57,62,56,58,56,256
ED39MD,2020,66,61,59,62,66,60,62,62,72,64,66,61,256
F9VCQW,2020,61,56,57,67,61,61,61,61,72,71,65,58,256
9RASCH,2020,63,59,56,60,60,58,59,59,65,58,62,54,256
9CGNFS,2020,64,58,57,64,62,60,62,60,65,63,61,59,256
TLH8FB,2020,71,66,62,63,70,64,64,62,65,62,67,58,256
LGBUM7,2020,64,58,63,61,60,59,55,57,72,63,60,68,256
D3TRDM,2020,66,63,61,65,64,63,61,61,68,63,62,63,256
FACN97,2020,66,60,57,63,63,63,59,60,71,65,63,58,256
G3XQKC,2020,62,55,53,60,63,57,58,57,60,58,59,54,256
MEGM7E,2020,66,58,55,68,63,62,56,58,67,57,62,57,256
9WAZBA,2020,67,58,58,62,66,61,60,61,61,62,64,56,256
VLLJA9,2020,61,56,53,63,56,58,58,54,57,52,57,53,256
PCURFC,2020,65,59,55,64,62,70,63,58,60,58,59,58,256
JGYZ8D,2020,58,55,54,55,59,56,56,56,66,61,56,57,256
N9BDJJ,2020,67,57,58,63,62,63,60,56,69,63,61,61,256
QCRCYE,2020,63,61,58,56,59,57,60,56,59,62,61,61,256
LJD3YX,2020,63,58,53,63,58,61,62,57,60,57,60,57,256
LLXQNJ,2020,69,58,53,60,60,61,58,57,64,60,57,58,256
7DXZMR,2020,62,55,52,59,58,59,59,60,64,61,57,55,256
A7ZMAG,2020,60,61,56,58,57,55,58,54,60,56,59,54,256
EFS9UR,2020,67,61,59,63,61,60,58,55,63,58,59,57,256
RY7A9T,2020,64,57,60,59,58,62,59,56,64,59,60,60,256
3JCDGS,2020,66,59,61,63,60,59,59,60,68,65,59,62,256
Q3RBJK,2020,59,54,55,59,55,61,56,53,61,56,54,58,256
T9MZC9,2020,63,65,64,61,60,58,60,60,62,59,60,57,256
7DJGUU,2020,69,62,59,64,60,65,61,58,63,61,61,60,256
RQ9P33,2020,58,57,58,60,60,62,58,54,67,56,56,57,256
RS7W8H,2020,63,56,51,61,58,67,63,55,59,59,60,55,256
CAWDQK,2020,61,58,56,63,57,60,58,61,62,70,62,56,256
K7V8SX,2020,66,62,57,63,67,61,64,59,61,59,63,56,256
JLNVV3,2020,62,71,57,63,62,60,63,61,64,62,69,57,256
QQPLXD,2020,64,58,68,62,62,60,59,58,60,58,60,57,256
JMJ3DC,2020,63,59,57,70,64,63,66,64,62,59,66,55,256
K8H3TM,2020,59,59,59,61,75,56,63,61,59,56,62,55,256
9KRS7H,2020,64,59,61,66,64,68,58,60,74,64,62,63,256
CA9YVW,2020,63,63,56,57,61,57,57,56,64,57,62,60,256
GBTLGS,2020,64,60,59,58,67,57,59,60,66,60,62,58,256
Z7AXD7,2020,63,56,54,58,57,58,58,56,61,59,55,56,256
KWEMNF,2020,62,57,52,59,60,61,57,54,59,53,58,54,256
VMPB89,2020,65,58,68,61,65,56,60,55,62,59,61,58,256
WQQBPL,2020,65,59,56,61,59,58,56,57,61,56,60,55,256
FXKUSE,2020,68,62,55,63,62,61,59,57,62,59,59,57,256
GF8FNH,2020,65,59,63,63,69,61,62,61,72,61,67,58,256
7ALFQQ,2020,66,66,65,63,61,59,58,60,61,60,61,62,256
QT7NRC,2020,63,54,57,59,59,57,55,55,65,61,58,58,256
Q9VU3L,2020,63,61,59,60,58,60,59,55,62,60,58,59,256
CPTM9N,2020,59,53,52,56,54,60,57,54,56,52,55,56,256
JM9YVW,2020,61,61,55,61,61,61,60,64,60,56,67,54,256
GCMCDR,2020,60,56,55,55,57,55,55,55,57,57,57,58,256
P3RGE7,2020,63,63,60,59,64,54,67,62,62,59,63,57,256
S8KNBR,2020,61,60,55,57,57,56,55,57,61,59,61,61,256
AL73DQ,2020,68,60,58,64,60,61,58,57,65,62,59,56,256
JGX8JN,2020,66,57,60,62,63,58,61,58,64,54,61,57,256
RZQ7KK,2020,63,57,63,59,64,55,59,59,61,59,62,56,256
PU7JBW,2020,70,60,59,66,65,62,62,63,73,69,69,57,256
9JDTVS,2020,65,57,52,63,61,58,55,56,62,58,58,53,256
9DAZG8,2020,64,61,61,71,65,61,61,66,69,66,67,57,256
7MHVQ9,2020,68,63,60,65,74,64,67,64,64,61,65,57,256
UR7WGZ,2020,63,66,55,62,59,63,64,58,61,57,61,56,256
LPYHAY,2020,65,60,59,65,62,61,61,64,69,67,64,59,256
8VPX8V,2020,65,59,54,65,59,63,64,60,64,59,61,58,256
P9UPXE,2020,64,57,57,61,57,57,59,53,60,57,57,55,256
83VW8J,2020,64,64,57,54,56,58,56,52,63,57,57,60,256
ZVGBFW,2020,65,57,55,66,62,63,59,57,66,61,61,58,256
WQWDEL,2020,64,65,57,59,61,62,59,56,61,57,61,59,256
L7NU73,2020,63,62,55,61,56,60,59,58,59,56,57,60,256
RDCAYD,2020,63,66,62,61,64,58,65,56,59,56,65,55,256
NFM9XC,2020,63,56,58,60,60,59,59,57,59,55,61,57,256
FFF8UM,2020,64,60,55,62,64,61,59,56,60,55,60,57,256
RSKVAB,2020,61,62,55,59,62,60,62,56,60,55,60,56,256
9DYSLC,2020,70,60,61,70,64,62,58,61,72,64,59,62,256
MJKUUK,2020,65,57,57,60,61,57,56,56,63,57,59,58,256
FRKKBL,2020,65,59,59,64,59,62,57,59,65,60,59,58,256
NEXCXQ,2020,63,64,59,60,59,65,60,58,59,59,63,59,256
ECR83E,2020,69,64,59,63,60,62,61,59,64,61,62,61,256
WSJ9VW,2020,65,62,55,62,67,61,65,60,62,60,62,59,256
TSZ8F9,2020,65,59,53,58,58,60,58,55,63,58,58,57,256
EZNXBG,2020,64,56,58,62,58,58,55,60,67,61,58,58,256
FR98AA,2020,63,59,63,59,59,64,57,57,61,57,58,58,256
LFMDDG,2020,65,55,55,66,59,63,54,55,70,59,57,59,256
PD8CU8,2020,60,63,57,58,54,56,54,54,57,55,56,57,256
TSYQDY,2020,66,69,59,61,69,60,67,58,61,61,66,55,256
VSGYP7,2020,64,61,54,64,61,67,65,60,63,61,63,57,256
BGUU7K,2020,68,62,58,67,65,64,59,61,70,64,65,63,256
DWH7SF,2020,68,56,53,58,60,58,60,56,58,59,57,56,256
WTGAS3,2020,64,61,56,69,63,73,67,61,61,59,66,56,256
ERXXU9,2020,63,57,58,61,57,56,57,57,62,57,57,57,256
GBJ9AJ,2020,70,61,56,62,63,63,62,57,61,58,62,58,256
YVA7FA,2020,62,61,57,62,61,62,60,60,71,70,63,59,256
VAMLHQ,2020,66,60,61,65,64,59,61,60,62,61,62,61,256
7TQKTV,2020,64,60,58,60,65,58,59,58,73,62,64,60,256
ZNUBEP,2020,64,58,60,64,65,57,58,63,72,62,66,59,256
9AZLVM,2020,67,58,55,62,62,62,60,58,68,61,60,59,256
RH99NK,2020,64,60,58,62,73,62,64,61,65,58,65,55,256
CP3T7L,2020,67,62,58,62,64,60,58,55,66,60,59,58,256
QW8PXE,2020,65,60,55,65,62,65,63,57,62,60,62,57,256
9UGCWN,2020,65,59,55,62,61,58,56,55,61,58,57,57,256
UV7KLM,2020,62,54,57,59,60,58,55,57,71,64,59,64,256
HPCM73,2020,64,60,54,62,63,62,60,57,68,60,60,59,256
FT8N9V,2020,61,57,50,61,57,60,59,57,57,56,60,52,256
TXCPRR,2020,64,56,53,64,61,61,58,59,70,64,59,60,256
WPAQH7,2020,62,64,56,61,59,57,59,59,66,56,60,56,256
VBSMGV,2020,68,64,59,63,60,62,56,56,62,62,58,67,256
JZEZVU,2020,60,55,53,58,56,57,55,51,62,56,57,58,256
PQG3QX,2020,62,58,60,62,60,57,58,61,73,63,61,60,256
TTRCLC,2020,66,59,54,63,60,61,61,57,60,57,60,57,256
WUUF7C,2020,62,67,58,62,61,61,61,55,59,59,62,56,256
BQFJPS,2020,63,60,62,60,57,61,59,57,63,57,58,61,256
8DABUD,2020,65,58,57,66,63,65,64,58,62,58,64,57,256
NTESDK,2020,63,56,58,65,59,66,58,61,63,57,61,61,256
V9CHJY,2020,62,66,54,58,59,57,61,52,60,55,63,53,256
TSEKJZ,2020,63,56,53,55,58,58,57,55,61,57,56,55,256
NUXRV3,2020,62,56,53,63,59,60,59,59,58,56,60,56,256
H7ZGXJ,2020,65,57,57,61,61,59,58,55,70,62,59,57,256
Z8WZMV,2020,63,56,59,63,60,58,58,61,64,57,63,59,256
FZJQSW,2020,65,56,59,61,59,58,55,57,67,59,61,57,256
97FRXH,2020,65,66,69,60,62,60,63,54,61,57,63,58,256
KK8ZNQ,2020,67,63,62,64,71,61,64,64,66,63,67,57,256
Q9K3GR,2020,59,59,61,55,60,56,59,53,57,58,58,57,256
XUJSDC,2020,68,58,54,59,61,58,56,55,62,61,57,58,256
JVEEKD,2020,65,58,60,57,61,59,57,56,67,59,57,61,256
ZZGTYY,2020,64,59,56,63,61,63,59,58,73,62,59,60,256
H7YXCX,2020,64,56,54,61,62,60,63,57,62,58,60,57,256
EXDUUU,2020,70,60,59,64,62,60,59,63,67,69,64,60,256
VBLAMW,2020,60,55,58,60,59,63,58,55,65,60,57,57,256
NWFAJY,2020,64,60,55,70,62,70,68,63,63,63,62,56,256
FTMYPQ,2020,63,58,54,65,64,63,58,59,71,61,61,57,256
Q8XEW7,2020,64,59,54,63,63,61,68,61,63,55,62,55,256
EUQBC3,2020,67,68,61,60,64,58,62,58,66,60,65,60,256
9SSHU3,2020,67,60,67,67,61,62,55,60,65,60,61,66,256
FWWVVH,2020,66,58,57,62,64,60,62,59,65,61,63,59,256
JDSPUA,2020,65,65,56,61,67,58,62,62,65,57,64,57,256
EFHQ87,2020,63,55,54,59,58,63,58,57,63,58,56,57,256
WAJKLV,2020,67,60,56,64,70,66,64,61,65,59,61,60,256
PTJDNL,2020,66,59,55,65,61,65,63,57,60,58,61,58,256
FPWXXE,2020,64,58,57,60,63,58,59,58,70,65,62,59,256
QKH3J9,2020,61,56,56,62,59,60,56,59,72,63,59,58,256
AGRHJY,2020,65,61,56,64,62,63,64,57,64,60,63,57,256
J3X8SE,2021,62,60,56,62,69,58,60,60,62,61,61,56,212
YUAQMQ,2021,69,61,60,70,63,63,59,61,71,62,61,60,212
ZFSALH,2021,58,51,50,57,54,60,54,52,58,57,52,56,212
TK9WMQ,2021,64,58,57,61,67,61,61,58,61,57,60,56,212
DD8DWJ,2021,53,49,52,54,49,54,51,50,53,53,51,51,212
MPBF7T,2021,65,59,58,66,60,65,63,60,63,60,61,57,212
HHXGSF,2021,60,57,53,55,59,54,57,54,59,54,58,55,212
CXVBDZ,2021,68,60,59,65,62,60,61,58,75,64,62,60,212
AGZRAH,2021,64,64,64,60,61,58,58,57,68,61,60,63,212
J8KMTD,2021,63,58,56,64,60,58,58,60,69,62,61,58,212
ZUN3P8,2021,60,65,56,58,57,59,60,54,67,56,58,59,212
YYVUDD,2021,59,52,55,56,57,58,55,57,63,61,56,58,212
NTBPRL,2021,65,63,54,60,61,59,62,56,58,58,63,56,212
CQYSAN,2021,60,67,59,58,63,55,62,58,56,55,64,52,212
AN9QWJ,2021,59,55,52,55,58,58,56,51,61,59,57,60,212
CTUYUE,2021,60,62,58,61,59,58,60,58,66,58,64,57,212
A9VQTB,2021,64,57,60,63,60,58,59,57,67,63,57,60,212
BCXJRL,2021,64,67,60,64,64,60,62,59,65,59,65,57,212
KNDW3F,2021,67,62,56,66,61,61,58,59,72,61,62,60,212
CHM9KZ,2021,58,52,56,64,56,59,53,61,65,59,56,60,212
VHSKGW,2021,63,61,56,64,72,63,63,60,61,57,65,55,212
DNBYHE,2021,62,57,61,56,56,56,58,53,57,55,56,60,212
WVCPVH,2021,63,64,57,61,62,58,59,57,64,59,62,61,212
JNFBK8,2021,64,65,57,60,60,56,56,58,62,62,62,58,212
9XJFNY,2021,62,58,59,62,61,61,60,62,66,72,65,59,212
MGGVBY,2021,55,53,51,56,56,58,56,55,62,57,57,56,212
F89KD9,2021,59,57,56,56,56,57,57,54,63,60,59,60,212
8AUJEF,2021,54,51,48,53,55,58,54,52,58,57,57,52,212
7H3337,2021,62,55,56,64,59,59,58,60,70,62,61,58,212
7LAGPZ,2021,63,58,54,60,57,55,57,58,57,54,59,52,212
SHVWMQ,2021,65,68,59,65,72,61,67,63,65,62,66,60,212
LR83YD,2021,67,59,61,67,65,60,63,61,64,59,66,57,212
XFQH8D,2021,67,65,61,64,73,64,67,63,63,60,68,57,212
NMLNDL,2021,62,56,53,62,64,66,59,54,62,57,58,56,212
BBHNLB,2021,62,58,55,68,61,65,60,59,60,60,60,58,212
ZVQG9E,2021,62,58,61,63,59,65,65,56,61,57,60,56,212
SFATQ8,2021,62,55,55,65,56,65,56,58,59,55,60,59,212
HDH3NQ,2021,61,58,58,56,60,58,58,54,62,60,58,57,212
EBBSRL,2021,62,58,53,64,60,60,60,56,61,54,62,53,212
WJKPRJ,2021,65,57,57,59,59,59,58,53,59,55,59,56,212
ZCY9QN,2021,63,60,53,70,64,64,65,62,63,61,65,55,212
SEMZDX,2021,66,59,54,66,65,63,66,61,60,59,61,56,212
CGDY3P,2021,67,58,56,63,62,63,62,59,64,58,60,57,212
N9LDAR,2021,66,59,58,67,64,63,60,58,67,63,63,59,212
Q3FH7V,2021,62,58,56,59,61,58,59,53,59,56,59,56,212
EMZQS8,2021,64,62,55,62,65,61,70,63,63,61,66,56,212
7AJLNU,2021,66,59,56,65,62,65,65,57,61,59,61,57,212
LBNAKX,2021,63,55,58,66,61,60,60,61,63,59,60,55,212
NNWVSZ,2021,65,57,60,63,59,59,54,54,68,59,61,60,212
AKEFYE,2021,68,61,58,64,59,61,62,59,66,64,61,60,212
FAGTGQ,2021,66,60,56,64,61,61,61,58,59,58,61,55,212
YVX7GV,2021,67,59,53,64,60,62,62,56,61,59,57,58,212
8VFBHQ,2021,59,55,62,57,58,59,55,54,60,62,56,59,212
TZRNNF,2021,61,57,62,57,61,58,56,53,59,60,57,60,212
E9ZJVS,2021,70,62,56,64,63,65,65,58,66,62,62,58,212
A9XTCC,2021,59,55,56,59,57,62,57,54,58,56,58,56,212
3QH37J,2021,66,56,58,60,59,59,54,56,63,65,61,64,212
PGPRAP,2021,69,59,60,61,58,59,59,55,64,60,57,58,212
8YH8LH,2021,64,57,53,65,58,62,60,57,57,57,58,54,212
9WBNDY,2021,63,56,55,61,60,59,59,56,71,63,57,58,212
CDUKU7,2021,71,60,59,63,62,61,58,55,68,60,61,62,212
XSXD8G,2021,63,56,57,62,61,61,60,54,68,62,59,59,212
MEDVSF,2021,68,58,55,59,59,56,58,57,60,57,60,55,212
GFVPUY,2021,64,59,56,59,59,58,59,56,64,59,59,57,212
9GD9PX,2021,63,57,54,60,62,63,59,56,61,57,60,56,212
GYMZW7,2021,68,62,56,63,68,62,63,56,65,60,65,59,212
RVHHHM,2021,64,61,59,63,61,62,57,57,68,55,61,57,212
QUUK8V,2021,61,58,52,55,55,56,57,49,59,55,56,59,212
NXSRXK,2021,64,59,57,62,56,58,60,58,65,61,61,58,212
KBPDHB,2021,63,58,57,66,63,61,58,61,66,57,66,56,212
P8B7S7,2021,62,56,51,62,57,56,57,55,59,57,56,53,212
RYWAXS,2021,65,59,54,60,57,60,61,55,60,57,56,55,212
KEHPVU,2021,55,56,57,57,61,61,68,56,57,54,58,54,212
BVH7HB,2021,61,64,57,60,59,56,60,56,60,56,60,54,212
8WDMGX,2021,66,58,54,60,56,61,59,57,60,58,57,59,212
PKG9AJ,2021,64,59,59,60,62,60,58,59,71,67,62,58,212
RPM3NF,2021,61,59,55,60,59,57,57,60,62,56,59,57,212
3HCTNX,2021,63,53,55,62,61,65,56,56,60,54,59,52,212
FZB98Y,2021,62,62,60,61,62,57,60,58,67,61,63,56,212
UCVDRT,2021,64,64,56,62,62,61,61,59,58,59,60,60,212
MWDAS7,2021,63,57,58,60,59,59,56,57,67,62,59,62,212
VAPBFR,2021,64,65,57,58,58,54,56,54,60,55,59,58,212
QLJ87E,2021,58,58,56,60,56,62,60,60,63,55,59,56,212
F3VYUW,2021,63,56,53,64,58,60,59,57,60,54,63,51,212
JZQV9W,2021,61,60,51,57,57,56,59,58,58,54,60,56,212
WX7QGN,2021,66,61,59,64,69,61,59,62,64,62,62,58,212
YBFMNB,2021,68,56,56,61,61,58,57,54,65,58,57,60,212
TRSJNH,2021,65,63,61,65,68,61,69,62,67,63,62,58,212
3PEZFZ,2021,66,60,56,66,63,62,60,62,67,65,66,57,212
XASAUY,2021,68,58,53,58,60,56,57,56,60,57,59,58,212
VABYQY,2021,66,57,52,63,58,62,59,56,60,56,58,56,212
MRXJXT,2021,59,63,58,59,56,60,64,58,59,56,58,59,212
KADHMW,2021,64,56,54,64,54,61,58,54,62,58,55,56,212
ARWGTQ,2021,63,59,56,64,62,60,61,56,63,59,61,60,212
7T3KEG,2021,66,59,56,59,63,61,64,56,62,59,63,58,212
WMLMDT,2021,63,62,58,64,65,63,62,61,60,60,64,57,212
TKAA3A,2021,62,61,57,63,67,61,66,62,63,58,63,55,212
9XSBBG,2021,66,59,58,57,62,56,62,56,62,58,59,58,212
CFH8B9,2021,67,59,53,68,62,71,66,58,61,57,64,54,212
37FCRG,2021,63,57,56,61,59,65,58,55,61,58,58,56,212
VTJA3P,2021,60,57,55,57,56,57,58,53,56,56,56,56,212
YJZX73,2021,62,57,53,61,60,63,65,58,61,55,60,52,212
DKRASY,2021,66,57,53,64,57,63,62,60,60,58,57,55,212
UDGGAV,2021,62,57,60,64,63,59,61,60,60,56,63,54,212
B8MM7N,2021,63,60,56,67,65,62,62,60,70,60,62,59,212
WYXPBE,2021,64,58,61,66,63,61,57,59,72,67,61,65,212
WQGA3C,2021,58,52,52,59,52,60,55,55,58,59,54,54,212
EU9W89,2021,67,60,56,61,58,60,58,56,59,57,57,58,212
9RQKCP,2021,61,58,55,62,63,61,60,57,59,58,58,55,212
FSN8AR,2021,67,57,54,64,61,68,60,56,61,60,59,55,212
UBSHRL,2021,60,59,59,63,65,58,67,60,64,63,59,57,212
ZQPTKW,2021,63,57,57,64,67,60,61,60,64,58,62,55,212
3KAF9R,2021,61,63,54,64,60,62,62,60,64,60,67,57,212
WLTVU7,2021,65,58,57,66,63,61,59,57,63,58,61,56,212
DZMCHW,2021,61,65,53,62,58,62,60,54,60,58,61,54,212
RRRPSB,2021,60,59,55,66,63,67,65,62,61,61,62,55,212
Q9S7PT,2021,62,58,53,62,64,63,67,57,58,56,60,54,212
XV3NGT,2021,66,61,65,60,72,60,63,62,63,59,65,56,212
EH9ZEV,2021,60,56,56,59,63,56,59,57,65,60,60,55,212
RFPBRP,2021,66,56,57,68,61,64,59,62,71,65,62,62,212
CPJKQM,2021,60,56,62,64,63,58,60,64,60,58,61,55,212
8YQ8QL,2021,62,63,56,58,64,54,61,56,62,60,61,55,212
QR9PZ7,2021,63,59,56,66,65,61,60,60,70,64,62,56,212
7YY9MN,2021,63,59,56,64,63,61,61,60,67,63,66,56,212
KZJX9Y,2021,60,61,56,59,59,56,58,56,65,54,59,58,212
