id,avatar,zh,en,year
XAZLSA,https://pretalx.com/media/avatars/IvanTu_pFI8bj8.jpg,"{'name': '杜修文', 'bio': '杜修文自2010年起加入Oracle MySQL全球事業部門，目前是Oracle的北亞區MySQL解決方案工程部經理，領導MySQL大中華區和韓國解決方案工程團隊， 他還組織臺灣MySQL使用者組，這是一個非常活躍的社區，擁有大約5500名成員.'}","{'name': 'Ivan Tu', 'bio': 'Ivan Tu joined Oracle MySQL global business unit in 2010. Now he is the manager of Northern APAC MySQL solution engineering . He also organizes the Taiwan MySQL user group, which is a very Active community with close to 5,500 members.'}",2021
8DJP7R,https://www.gravatar.com/avatar/6bda7f615edb96acc5306529f88074f7,"{'name': '劉健豐', 'bio': '我是Wikidata地方學專題三峽地區的主持人劉健豐，在這次的演講中，將會帶各位了解Wikidata的編輯方式以及有甚麼類型的資料可以寫進Wikidata，並趁機推廣維基數據的知名度，以及邀請更多的成員加入我們。'}","{'name': 'Liu Frank', 'bio': 'I am Frank Liu, the host of the Wikidata local studies topics in the Sanxia District. In this speech, I will take you to understand the editing method of Wikidata and what types of materials can be written into it. To take the opportunity to promote the popularity of Wikidata in this seminar and invite more members to join us.'}",2021
UCRVRK,https://pretalx.com/media/avatars/188245123_10208759680664667_7380966870381028957_n_nfrJufp.jpg,"{'name': '小ㄐ', 'bio': '開放文化基金會（OCF），專案經理。'}","{'name': 'Rosa', 'bio': 'Open Culture Foundation, project manager.'}",2021
7WNKJB,https://pretalx.com/media/avatars/Picture_UPDGKxA.png,"{'name': '陳怡升', 'bio': '嗨，我是怡升，你可以叫我 Eason。叫這個名字，希望我的人生可以「怡」然自得的向上爬「升」，不斷進步。\r\n\r\n我現在大三升大四，在台師大就讀學習科學學士班，同時在區塊鏈新創 FiO 擔任研發實習工程師，負責 AI 與 區塊鏈研究。'}","{'name': 'Eason Chen', 'bio': 'Hi, I’m Eason Chen.\r\n\r\nI am now in my junior year, studying Learning Science at National Taiwan Normal University, and at the same time working as an R&D intern engineer at the blockchain startup FiO.'}",2021
Y9LQXE,https://www.gravatar.com/avatar/ad4eebd109c71c380453e753cf3a29f2?s=1024&d=identicon&r=g,"{'name': 'KAI-CHU CHUNG', 'bio': 'N/A'}","{'name': 'KAI-CHU CHUNG', 'bio': 'N/A'}",2021
ASAT7M,https://pretalx.com/media/avatars/512x512mi_i8Zkc9o.jpg,"{'name': '卡米哥', 'bio': '我是卡米哥，聊天機器人卡米狗的作者，LINE 官方認證的 API 專家，LINE API Expert。目前在維護知名 Node.js 聊天機器人框架 Bottender，以及基於 Rails 的 LINE Bot 框架 Kamigo。'}","{'name': 'Etrex Kuo', 'bio': 'I’m Etrex Kuo, the author of the chatbot kamigo, an LINE API Expert. Currently maintaining the well-known Node.js chatbot framework Bottender, and the Rails-based LINE Bot framework Kamigo.'}",2021
SMHHQP,https://pretalx.com/media/avatars/CK-speech-photo-2017_OqA4zZm.png,"{'name': '陳恭', 'bio': '陳恭老師是政大資訊管理學系教授、資科系合聘教授，目前也擔任政大金融科技研究中心副主任一職。除了二十年的教學研究經驗外，在加入政大前，陳恭老師也曾任職於軟體公司與企管顧問公司，具有數年的產業實務經驗。早年他的研究領域聚焦於程式語言與軟體系統設計，2011年至2017年間，陳恭老師分別與政大新聞系與公行系電子治理中心合作，進行「社群媒體資料分析」以及「政府數位服務創新」之跨領域研究，除執行科技部「數位人文專案計劃」外，也參與了三個政大電子治理中心執行的國發會委託研究案。期間，陳恭教授並投入教育部資訊軟體人才培育計劃，擔任「社群運算與巨量資料」主題之跨校資源中心計劃主持人(2013-2018)。自2016年起，陳恭老師開始投入區塊鏈技術與應用之研究，在政大組成區塊鏈研究團隊，偕同數位老師帶領多位學生一起從事這方面的研究，各項成果陸續產出，並於2017年申請到科技部三年期整合型計畫「區塊鏈支付網路的關鍵技術與工程研發」，發表了數篇國際研討會論文。此外，過去三年間，陳恭教授參與了許多產學合作專案，協助產業發展區塊鏈技術的運用能力。其中透過衛福部的研究計畫，協助醫院運用區塊鏈與智能合約進行跨院醫療照護資料交換以及同意書數位化的場域實驗專案。2018年9月獲聘為新加坡新躍社科大學(Singapore University of Social Sciences，SUSS)的外部Fellow。2018年底起，他也參與了台灣金融業發展 Open API的重要專案，協助制定Open Banking API的技術標準。'}","{'name': 'Kung Chen', 'bio': 'Kung Chen is a Professor in the Department of Management Information Systems and Computer Science at the National Chengchi University (NCCU), Taiwan. His current research is focused on the technology and applications of blockchain. Kung leads the NCCU blockchain group that includes four faculty members and several graduate and undergraduate students. In the past few years, the group has developed efficient BFT consensus algorithms and software tools for the Ethereum blockchain, and privacy enhancement technologies, such as zero-knowledge range proof, that can be applied to develop novel blockchain applications. Besides, Kung has participated in several experimental and pilot projects that apply blockchain to address the needs in healthcare and financial industries since 2017. Prior to joining NCCU in 2003, Kung worked in the software industry for a few years, and taught at National Taiwan University of Science and Technology and Tatung University. He completed his Ph.D. in Computer Science at Yale University in 1994, and his thesis research is in the area of functional programming languages.'}",2021
PRCGNA,https://www.gravatar.com/avatar/8680e190e5efc47757f88ca54ab06cdf?s=1024&d=identicon&r=g,"{'name': 'Caesar', 'bio': ''}","{'name': 'Caesar', 'bio': ''}",2021
FZHQYC,https://pretalx.com/media/avatars/fb_bathing_dog_frSXjHc.png,"{'name': 'Jerry Ho', 'bio': 'A wannabe cryptographer, defender of civil liberties on blockchain.\r\nSCRF Research fellow / Taipei Ethereum Meetup co-organizer\r\nNo full-time job atm.\r\n\r\nDigital footprints:\r\nhttps://www.facebook.com/jerry.ho.395/\r\nhttps://twitter.com/29988122\r\nhttps://medium.com/the-singularity-is-near/\r\nhttps://github.com/29988122/'}","{'name': 'Jerry Ho', 'bio': 'A wannabe cryptographer, defender of civil liberties on blockchain.\r\nSCRF Research fellow / Taipei Ethereum Meetup co-organizer\r\nNo full-time job atm.\r\n\r\nDigital footprints:\r\nhttps://www.facebook.com/jerry.ho.395/\r\nhttps://twitter.com/29988122\r\nhttps://medium.com/the-singularity-is-near/\r\nhttps://github.com/29988122/'}",2021
KJCLRD,https://www.gravatar.com/avatar/7778bc4239e3240e482d58ddfb596342,"{'name': '黃鐘瑩', 'bio': 'Test'}","{'name': 'Joannie Huang', 'bio': 'Test'}",2021
MFTX7E,https://www.gravatar.com/avatar/53251a683f03dab1f4894f2db5ed285d?s=1024&d=identicon&r=g,"{'name': '郭靖', 'bio': 'Infrastructure Engineer at LINE Corp.\r\nCo-organizer, Cloud Native Taiwan User Group'}","{'name': 'Gene Kuo', 'bio': 'Infrastructure Engineer at LINE Corp.\r\nCo-organizer, Cloud Native Taiwan User Group'}",2021
