id,avatar,zh,en,year
PEGEJN,https://pretalx.coscup.org/media/avatars/2023%E6%99%9A%E9%B3%A5_%E5%A6%82%E4%BD%95%E6%BA%96%E5%82%99%E8%AD%89%E7%85%A7%E8%80%83%E8%A9%A6%E5%B0%81%E9%9D%A2_x5qbhRz.PNG,"{'name': 'TZU', 'bio': '工程師'}","{'name': 'TZU', 'bio': '工程師'}",2023
9U7BAR,https://www.gravatar.com/avatar/6814f99a172245a81bfbc9ade92c6567?s=1024&d=identicon&r=g,"{'name': 'Justin', 'bio': '-'}","{'name': 'Justin', 'bio': '-'}",2023
TLJMQN,https://pretalx.coscup.org/media/avatars/%E7%85%A7%E7%89%87_Zhz74A8.png,"{'name': 'MAVINS', 'bio': '自傳部分'}","{'name': 'MAVINS', 'bio': '自傳部分'}",2023
GY7FHY,https://www.gravatar.com/avatar/0f49aaa636c946558a4960cd74a97fed?s=1024&d=identicon&r=g,"{'name': 'MAVINS', 'bio': '自傳部分'}","{'name': 'MAVINS', 'bio': '自傳部分'}",2023
M8JK9S,https://pretalx.coscup.org/media/avatars/kate-icon_juPPLJv.jpg,"{'name': 'Kate Hsuan', 'bio': '目前主要貢獻上游軟體開發，包括了\r\nLinux Kernel, fwupd, libcamera, GNOME以及Fedora。Kate也一直使用及貢獻開源軟體，在QCT時負責ONAP (Open Network Automation Platform) 電信產業專用開源專案，並與國外電信公司一起開發與貢獻 ONAP DCAE Datalake專案。在Hopebay Technologies 時利用Ceph 開發出Scalable Software Defined Storage，也長期關注OpenStack發展，並使用它開發和沛公有雲系統。'}","{'name': 'Kate Hsuan', 'bio': '目前主要貢獻上游軟體開發，包括了\r\nLinux Kernel, fwupd, libcamera, GNOME以及Fedora。Kate也一直使用及貢獻開源軟體，在QCT時負責ONAP (Open Network Automation Platform) 電信產業專用開源專案，並與國外電信公司一起開發與貢獻 ONAP DCAE Datalake專案。在Hopebay Technologies 時利用Ceph 開發出Scalable Software Defined Storage，也長期關注OpenStack發展，並使用它開發和沛公有雲系統。'}",2023
CHMFXM,https://www.gravatar.com/avatar/a06e537965b337f802913b69848c4289?s=1024&d=identicon&r=g,"{'name': 'Peter Li', 'bio': '-'}","{'name': 'Peter Li', 'bio': '-'}",2023
U9KS3N,https://pretalx.coscup.org/media/avatars/me_Lqdg2Gw.jpg,"{'name': 'Anirudh Sharma', 'bio': 'Anirudh Sharma is a Senior at Delhi Technological University with more than two years of experience in full stack development and cloud ecosystem. He is a Major League Hacking Fellow, Postman Student Leader and a part of TensorFlow.js Working Group. He loves to share his knowledge and experiences through blogs, developer conferences and is interested about everything around Web and DevOps.'}","{'name': 'Anirudh Sharma', 'bio': 'Anirudh Sharma is a Senior at Delhi Technological University with more than two years of experience in full stack development and cloud ecosystem. He is a Major League Hacking Fellow, Postman Student Leader and a part of TensorFlow.js Working Group. He loves to share his knowledge and experiences through blogs, developer conferences and is interested about everything around Web and DevOps.'}",2023
JWUFMA,https://www.gravatar.com/avatar/cee80559471f68b7a5134ac8f3e60187,"{'name': '黃宇強 Date Huang', 'bio': ""Date Huang is the maintainer of DozenCloud Project, ARM64 VPS Project, and EZIO Project, bare-metal server massive deployment solution.\r\n\r\nSpeaking Experience: OpenStack Day Taiwan 2016-2017, Open Source Summit North America 2017, ISC High Performance Project Poster 2018, Hong Kong Open Source Conference 2019, OSC Tokyo 2019, COScon '19, TWNOG 4.0, COSCUP 2021""}","{'name': '黃宇強 Date Huang', 'bio': ""Date Huang is the maintainer of DozenCloud Project, ARM64 VPS Project, and EZIO Project, bare-metal server massive deployment solution.\r\n\r\nSpeaking Experience: OpenStack Day Taiwan 2016-2017, Open Source Summit North America 2017, ISC High Performance Project Poster 2018, Hong Kong Open Source Conference 2019, OSC Tokyo 2019, COScon '19, TWNOG 4.0, COSCUP 2021""}",2023
XU3RWK,https://www.gravatar.com/avatar/2c5113e3a908d22a0ce27ac1b1cb8000,"{'name': 'beauty', 'bio': 'dsafdsa'}","{'name': 'beauty', 'bio': 'dsafdsa'}",2023
QMP3FT,https://www.gravatar.com/avatar/aa2090617431a4dcaab28771c90ccab0?s=1024&d=identicon&r=g,"{'name': 'FANFAN', 'bio': '-'}","{'name': 'FANFAN', 'bio': 'Sky Hong is currently studying in the Department of Computer Science and Information Engineering at National Taiwan Normal University. He has interests in both information technology and social sciences, and frequently follows news and applications related to open data and crowd sourcing. He participates in g0v, a digital activist community, and currently holds the positions of Editor-in-chief for SITCON 2023, Lead of the Google Developer Student Club at National Taiwan Normal University, and Maintainer of UniCourse.\r\n\r\nm5063232325 is currently enrolled in the Institute of Information Networking and Multimedia at National Taiwan University. In her free time, she enjoy solving Capture the Flag (CTF)  challenges.\r\n\r\nFan Fan is currently enrolled in Data Science and NLP at National Taiwan Normal University. In his free time, he researches web3 tech. He is the victim of the Terra Luna incident in 2022.'}",2023
3CMMEA,https://pretalx.coscup.org/media/avatars/T06AQNWKG-UNMCR1285-bfbfa683cfb9-512_qLyPuVl.jpg,"{'name': 'Vincent', 'bio': '在軟體界流浪了幾年，常常找些好玩的東西，讓自己保持對軟體的火熱'}","{'name': 'Vincent', 'bio': '在軟體界流浪了幾年，常常找些好玩的東西，讓自己保持對軟體的火熱'}",2023
X9EK7D,https://pretalx.coscup.org/media/avatars/Nikhil_Barthwal_Square_xKPCl95.jpg,"{'name': 'Nikhil Barthwal', 'bio': 'Nikhil Barthwal is passionate about building distributed systems. He has several years of work experience in both big companies & smaller startups and also acts as a mentor to several startups. Outside of work, he speaks at international conferences on several topics related to Distributed systems & Programming Languages. You can know more about him via his homepage www.nikhilbarthwal.com.'}","{'name': 'Nikhil Barthwal', 'bio': 'Nikhil Barthwal is passionate about building distributed systems. He has several years of work experience in both big companies & smaller startups and also acts as a mentor to several startups. Outside of work, he speaks at international conferences on several topics related to Distributed systems & Programming Languages. You can know more about him via his homepage www.nikhilbarthwal.com.'}",2023
QRMCVQ,https://pretalx.coscup.org/media/avatars/272126990_4889994921023123_925008866846625760_n_whc5DHy.jpeg,"{'name': 'Nijia Lin', 'bio': 'Technology Evangelist at LINE Taiwan. Passion for sharing and creating new ideas in the engineering ecosystem. Also, contribute to open-source in my free time.\r\n\r\nMore information please see my blog: https://nijialin.com/about/'}","{'name': 'Nijia Lin', 'bio': 'Technology Evangelist at LINE Taiwan. Passion for sharing and creating new ideas in the engineering ecosystem. Also, contribute to open-source in my free time.\r\n\r\nMore information please see my blog: https://nijialin.com/about/'}",2023
H9PJPV,https://www.gravatar.com/avatar/e56eaaf62e2112055827c197b938d620,"{'name': 'Che Chia Chang', 'bio': 'SRE / DevOps / MVP，常出沒 CNTUG / DevOpsTW / GolangTaipei'}","{'name': 'Che Chia Chang', 'bio': 'SRE / DevOps / MVP，常出沒 CNTUG / DevOpsTW / GolangTaipei'}",2023
83A7DR,https://www.gravatar.com/avatar/53e4dadab857391ce15c44b70af8022d?s=1024&d=identicon&r=g,"{'name': '林宇謙', 'bio': 'RISC-V system software engineer'}","{'name': '林宇謙', 'bio': 'RISC-V system software engineer'}",2023
URGXP8,https://pretalx.coscup.org/media/avatars/75097173-3ACC-4750-9A01-3D7FCEB300DF_g0n6bMW.jpeg,"{'name': '鄭聖文', 'bio': '畢業自陽明交通大學 (機器人碩士學程，2021年) 及靜宜大學 (資訊工程系，2019年)，主要興趣為機器人系統、嵌入式系統以及即時作業系統。曾參與開源四軸飛行器韌體開發 (UrsusPilot，因主要成員創業，已轉為閉源) 及小型實驗型自駕車系統設計 (Puyuma，基於電腦視覺及 Real-time Linux)，熟悉機器人控制以及導航，更詳細的介紹可見: http://wiki.csie.ncku.edu.tw/User/shengwen'}","{'name': '鄭聖文', 'bio': 'Shengwen Cheng completed his master\'s degree in robotics from National Yang Ming Chiao Tung University in 2021 and a bachelor\'s degree in computer science from Providence University in 2019. He specializes in robotics, embedded systems, and real-time operating systems. Shengwen has actively participated in various projects, including ""UrsusPilot,"" an open-source multirotor flight software project, and ""Puyuma,"" an experimental Autonomous Ground Vehicles (AGV) project based on computer vision and real-time Linux. For more information, please refer to his CV at https://hackmd.io/@shengwen/cv .'}",2023
