id,avatar,zh,en,year,unique_id
88BSKZ,https://pretalx.coscup.org/media/avatars/My_Pic_UjO8PwI.jpg,"{'name': 'Bhupesh Sharma', 'bio': '● Currently @ ARM\r\n● Been hacking on boot loaders & kernel since past 18 years.\r\n● Contribute to: Linux, EFI/u-boot bootloader & Secure FW\r\n● User-space utilities like: kexec-tools, and Makedumpfile.\r\n● Co-maintainer hat(s): U-boot UFS, Qcom Ethernet & crash-utility tool.\r\n● Area of Interest: 0-day Silicon bringup using open-source software.'}","{'name': 'Bhupesh Sharma', 'bio': '● Currently @ ARM\r\n● Been hacking on boot loaders & kernel since past 18 years.\r\n● Contribute to: Linux, EFI/u-boot bootloader & Secure FW\r\n● User-space utilities like: kexec-tools, and Makedumpfile.\r\n● Co-maintainer hat(s): U-boot UFS, Qcom Ethernet & crash-utility tool.\r\n● Area of Interest: 0-day Silicon bringup using open-source software.'}",2024,88BSKZ
N7YUGX,https://pretalx.coscup.org/media/avatars/koti_passport_size_pic_400x400_vhUIPv4.jpg,"{'name': 'Koteswara Rao Vellanki', 'bio': ""I am an experienced DevOps Engineer currently working at UST, with over five years in the IT industry. My previous positions were with HCL Technologies and Agathsya Technologies, where I honed my skills in various DevOps tools and techniques, particularly in containerization and orchestration technologies. I completed a Master's degree in Computer Applications from Acharya Nagarjuna University, graduating with distinction.\r\n\r\nI am passionate about using my technical skills to solve complex problems, streamlining operations to enhance business outcomes. My ability to quickly learn and adapt has made me a key player in every team I've been part of, often going the extra mile to ensure projects succeed.\r\n\r\nBeyond my professional work, I am actively involved in the Python community. I serve as a community organizer for PyCon India and have volunteered at several international PyCon events, including in the Philippines, across the Asia-Pacific region, and in the United States. This involvement in the community is driven by my commitment to sharing knowledge and helping others grow in the field.""}","{'name': 'Koteswara Rao Vellanki', 'bio': ""I am an experienced DevOps Engineer currently working at UST, with over five years in the IT industry. My previous positions were with HCL Technologies and Agathsya Technologies, where I honed my skills in various DevOps tools and techniques, particularly in containerization and orchestration technologies. I completed a Master's degree in Computer Applications from Acharya Nagarjuna University, graduating with distinction.\r\n\r\nI am passionate about using my technical skills to solve complex problems, streamlining operations to enhance business outcomes. My ability to quickly learn and adapt has made me a key player in every team I've been part of, often going the extra mile to ensure projects succeed.\r\n\r\nBeyond my professional work, I am actively involved in the Python community. I serve as a community organizer for PyCon India and have volunteered at several international PyCon events, including in the Philippines, across the Asia-Pacific region, and in the United States. This involvement in the community is driven by my commitment to sharing knowledge and helping others grow in the field.""}",2024,N7YUGX
P9EJXW,https://pretalx.coscup.org/media/avatars/icon_YEQyrVN.png,"{'name': 'ken leong', 'bio': 'Hi，我是 Ken！一名來自台北科技大學資訊與財金管理系的學生，北科大區塊鏈研究社第四任社長，XueDAO 和渠DAO 的成員。是一個會寫 Python 的 DevOps, 對區塊鏈很感興趣！'}","{'name': 'ken leong', 'bio': 'Hi, This is Ken Leong, a student from NTUT IFM, previous president of NTUT Blockchain Club, member of XueDao and Channel Dao.'}",2024,P9EJXW
USFEPD,https://pretalx.coscup.org/media/avatars/changwu_tyLRcFC.png,"{'name': 'changwu', 'bio': 'Dr. Chang-Wu Chen is currently the Chief Scientist at imToken, where he leads imToken Labs. Prior to this role, he served as an adjunct assistant professor in the Department of Computer Science at National Chengchi University and as Chief Scientist at AMIS. He has worked for the Ethereum Foundation and is a co-organizer of ETHTaipei.'}","{'name': 'changwu', 'bio': 'Dr. Chang-Wu Chen is currently the Chief Scientist at imToken, where he leads imToken Labs. Prior to this role, he served as an adjunct assistant professor in the Department of Computer Science at National Chengchi University and as Chief Scientist at AMIS. He has worked for the Ethereum Foundation and is a co-organizer of ETHTaipei.'}",2024,USFEPD
SMCCYY,https://www.gravatar.com/avatar/f0a537805724d2e5afd1db32f9302b85?s=1024&d=identicon&r=g,"{'name': 'Irvin Chen', 'bio': 'TBD'}","{'name': 'Irvin Chen', 'bio': ""G0v / Mozilla contributor, community liaison of MozTW Community, and Keyholder of MozTW Space, an open hackerspace. His recent interest is digital policy and governance of the internet and platforms and its effect on democratic society. In the meantime, I'm also a front-end developer of womany.net, a DEI advocacy and consulting startup.""}",2024,SMCCYY
DJ3WYV,https://www.gravatar.com/avatar/488e21157e166051d41d107893388502?s=1024&d=identicon&r=g,"{'name': '里長伯', 'bio': '你的後端大小事,都是我的事！(能幫的上忙的話ＸＤ)'}","{'name': '里長伯', 'bio': '你的後端大小事,都是我的事！(能幫的上忙的話ＸＤ)'}",2024,DJ3WYV
KNF3ZA,https://pretalx.coscup.org/media/avatars/IMG_5974_agileYW.JPG,"{'name': 'HungWei Chiu', 'bio': '-'}","{'name': 'HungWei Chiu', 'bio': '-'}",2024,KNF3ZA
TLJMQN,https://pretalx.coscup.org/media/avatars/%E7%85%A7%E7%89%87_Zhz74A8.png,"{'name': 'MAVINS', 'bio': '-'}","{'name': 'MAVINS', 'bio': '-'}",2024,TLJMQN
VYMCXW,https://www.gravatar.com/avatar/8f622b281d233658ba0491631fdd3da4?s=1024&d=identicon&r=g,"{'name': 'pallavi thukral', 'bio': 'I am Pallavi Thukral, and I am thrilled to express my interest in joining your esteemed conference as a speaker. With a passion for cutting-edge technologies and a background in computer science, I bring a wealth of experience and enthusiasm to the realms of emerging technologies, cloud, DevOps, .NET, C++, Kotlin, backend development, Ruby, Blockchain, ML, AI and many more.\r\n\r\nCurrently serving as a software developer at BNY Mellon, I am immersed in the dynamic world of software engineering, contributing to the development of innovative solutions in a financial services environment. My journey in the tech industry has been shaped by a dedication to staying at the forefront of technological advancements, making me a constant learner and enthusiast for emerging trends.\r\n\r\nAs a gold medalist in Bachelor of Technology, my academic foundation has instilled in me a commitment to excellence and a drive for continuous improvement. This academic achievement, coupled with my practical experience, positions me as a speaker who can bridge the gap between theoretical knowledge and real-world application.\r\n\r\nI am eager to share insights, best practices, and practical experiences with the community. My sessions aim to provide valuable takeaways for developers, engineers, and tech enthusiasts, fostering a collaborative environment for knowledge exchange. I look forward to the opportunity to contribute to the vibrant discussions and learning experiences.'}","{'name': 'pallavi thukral', 'bio': 'I am Pallavi Thukral, and I am thrilled to express my interest in joining your esteemed conference as a speaker. With a passion for cutting-edge technologies and a background in computer science, I bring a wealth of experience and enthusiasm to the realms of emerging technologies, cloud, DevOps, .NET, C++, Kotlin, backend development, Ruby, Blockchain, ML, AI and many more.\r\n\r\nCurrently serving as a software developer at BNY Mellon, I am immersed in the dynamic world of software engineering, contributing to the development of innovative solutions in a financial services environment. My journey in the tech industry has been shaped by a dedication to staying at the forefront of technological advancements, making me a constant learner and enthusiast for emerging trends.\r\n\r\nAs a gold medalist in Bachelor of Technology, my academic foundation has instilled in me a commitment to excellence and a drive for continuous improvement. This academic achievement, coupled with my practical experience, positions me as a speaker who can bridge the gap between theoretical knowledge and real-world application.\r\n\r\nI am eager to share insights, best practices, and practical experiences with the community. My sessions aim to provide valuable takeaways for developers, engineers, and tech enthusiasts, fostering a collaborative environment for knowledge exchange. I look forward to the opportunity to contribute to the vibrant discussions and learning experiences.'}",2024,VYMCXW
FSMLVN,https://pretalx.coscup.org/media/avatars/50255359392_e2932f8465_6k_L34ju8h_1_nufy1na.jpg,"{'name': 'Ko Ko', 'bio': 'Ko Ko 連續當選多年微軟 AI 領域的最有價值專家（Microsoft AI MVP），曾任職於財星 500 強企業、美國矽谷科技新創、澳洲雪梨科技新創、美國上市公司等企業，擅長於 AI 技術與軟體開發。他也是大型技術年會的知名講者，包含了 ModernWeb、. NET Conference、PyCon APAC、PyCon HK、DevDays Asia 等等的國際大型年會，累計已超過萬名聽眾。他是技術社群 Chatbot Developers Taiwan 的核心成員，在社群裡也分享過許多自然語言處理和聊天機器人相關的實戰和心得。他熱愛向大眾分享他的經驗與所學，並且相信這樣分享的過程中能讓彼此都更進步。'}","{'name': 'Ko Ko', 'bio': 'Ko Ko has been consecutively elected as a Microsoft AI MVP for many years and has worked for Fortune 500 companies, tech startups in Silicon Valley and Sydney, and public companies in the USA. He is proficient in AI technology and software development. He is also a well-known speaker at major tech conferences, including ModernWeb, .NET Conference, PyCon APAC, PyCon HK, and DevDays Asia, having amassed an audience of over ten thousand attendees. Ko Ko is a core member of the Chatbot Developers Taiwan community, where he has shared numerous practical insights and experiences regarding natural language processing and chatbots. He is passionate about sharing his knowledge and believes that such sharing enriches everyone involved.'}",2024,FSMLVN
DGDUL9,https://pretalx.coscup.org/media/avatars/IMG_4984_hpwDKzg.jpg,"{'name': 'FKT', 'bio': '哈摟我是 FKT 擅長後端與維運以下是我在社群間的經歷\r\n\r\n- 2024 COSCUP 學生 x 教育大亂鬥 Organizer\r\n- 2023 COSCUP 學生社群大亂鬥 負責人\r\n- 2023 GitHub Campus Expert\r\n- 2022 GDSC Lead\r\n- 2022 網管小組系統暨教學組 教學組組長\r\n\r\n對於其他領域也有興趣所以會出一些其他的專案或文章\r\n個人部落格 https://www.sql-fan9704.eu.org/\r\nGitHub https://github.com/fan9704'}","{'name': 'FKT', 'bio': '哈摟我是 FKT 擅長後端與維運以下是我在社群間的經歷\r\n\r\n- 2024 COSCUP 學生 x 教育大亂鬥 Organizer\r\n- 2023 COSCUP 學生社群大亂鬥 負責人\r\n- 2023 GitHub Campus Expert\r\n- 2022 GDSC Lead\r\n- 2022 網管小組系統暨教學組 教學組組長\r\n\r\n對於其他領域也有興趣所以會出一些其他的專案或文章\r\n個人部落格 https://www.sql-fan9704.eu.org/\r\nGitHub https://github.com/fan9704'}",2024,DGDUL9
JWUFMA,https://pretalx.coscup.org/media/avatars/c_-_%E8%A4%87%E8%A3%BD_TI6GrvS.JPG,"{'name': '黃宇強 Date Huang', 'bio': ""Date Huang is Solution Architect in VyOS Networks, and also the maintainer of EZIO Project, bare-metal server massive deployment solution.\r\n\r\nSpeaking Experience: OpenStack Day Taiwan 2016-2017, Open Source Summit North America 2017, ISC High Performance Project Poster 2018, Hong Kong Open Source Conference 2019, OSC Tokyo 2019, COScon '19, TWNOG 4.0, COSCUP 2021, COSCUP 2023, Kubernetes Community Day 2023""}","{'name': '黃宇強 Date Huang', 'bio': ""Date Huang is Solution Architect in VyOS Networks, and also the maintainer of  EZIO Project, bare-metal server massive deployment solution.\r\n\r\nSpeaking Experience: OpenStack Day Taiwan 2016-2017, Open Source Summit North America 2017, ISC High Performance Project Poster 2018, Hong Kong Open Source Conference 2019, OSC Tokyo 2019, COScon '19, TWNOG 4.0, COSCUP 2021, COSCUP 2023""}",2024,JWUFMA
XZ7VJE,https://www.gravatar.com/avatar/01ef820360ed74257dcfe97465f05861?s=1024&d=identicon&r=g,"{'name': 'Julien Rouhaud', 'bio': ""Julien is a PostgreSQL Major Contributor. He has been working with PostgreSQL since verson 8.3, as a developer and a DBA. He has many contribution to PostgreSQL itself.  He's also the author of other open source projects such as PoWA (real-time performance diagnosis) and HypoPG (hypothetical indexes).\r\n\r\nHe’s also a former treasurer of the PostgreSQL Europe association.""}","{'name': 'Julien Rouhaud', 'bio': ""Julien is a PostgreSQL Major Contributor. He has been working with PostgreSQL since verson 8.3, as a developer and a DBA. He has many contribution to PostgreSQL itself.  He's also the author of other open source projects such as PoWA (real-time performance diagnosis) and HypoPG (hypothetical indexes).\r\n\r\nHe’s also a former treasurer of the PostgreSQL Europe association.""}",2024,XZ7VJE
GKAG3J,https://www.gravatar.com/avatar/4711200f93e13b55cb6e7444ac421dc2?s=1024&d=identicon&r=g,"{'name': 'Kuo-Chieh Ting', 'bio': 'Kuo-Chieh got dual graduate degrees in Computer Science, and Art and Technology. He is a veteran of FOSS and Open Data movement. He is among the first generation Chinese users of Libreoffice and Mageia Linux（named Star Office/Open Office and Mandriva back then, respectively)  He has been actively involved in Chinese language l10n community events.  He has initiailed the Chinese Electronic Literature Library, which is a missing piece of the modern Chinese NLP which Taiwan needs to compete with other rivals in AI, and came up with the ideas of two big FOSS projects funded  by the Taiwan government.  Recently he shifts more efforts on focusing using FOSS tools and open data to create arts and community sharing ecology, such as leading high school students to create and share the 3D model of a historical architecture from scratch, during learning the FOSS 2D/3D tools and how engineers cooperate with each other in the FOSS community.'}","{'name': 'Kuo-Chieh Ting', 'bio': 'Kuo-Chieh got dual graduate degrees in Computer Science, and Art and Technology. He is a veteran of FOSS and Open Data movement. He is among the first generation Chinese users of Libreoffice and Mageia Linux（named Star Office/Open Office and Mandriva back then, respectively)  He has been actively involved in Chinese language l10n community events.  He has initiailed the Chinese Electronic Literature Library, which is a missing piece of the modern Chinese NLP which Taiwan needs to compete with other rivals in AI, and came up with the ideas of two big FOSS projects funded  by the Taiwan government.  Recently he shifts more efforts on focusing using FOSS tools and open data to create arts and community sharing ecology, such as leading high school students to create and share the 3D model of a historical architecture from scratch, during learning the FOSS 2D/3D tools and how engineers cooperate with each other in the FOSS community.'}",2024,GKAG3J
ZRHBKS,https://pretalx.coscup.org/media/avatars/IMG_1872_6GUqBwM.JPG,"{'name': 'Po Han, Huang', 'bio': 'SUSE NeuVector, software engineer\r\n\r\nA Software Engineer with a strong background in backend development and infrastructure management, I have honed my skills in software engineering and contributed to various projects.\r\n\r\nInterested in the open-source project and distributing system. I contributed to Apache Submarine, where I simplified the installation process and resolved login issues for new users, Flyte to improve the JSON process speed with new library.\r\n\r\nCurrently a softewre engineer in SUSE.'}","{'name': 'Po Han, Huang', 'bio': 'The Kubernetes CIS Benchmark is a critical framework designed to safeguard Kubernetes ecosystems through a series of security guidelines. NeuVector CIS benchmarking is a dynamic, Golang-driven process that tailored shell scripts based on the specificities of operating systems and Kubernetes versions. NeuVector will run the customized shell scripts with GoLang, culminating the result into a detailed UI report.\r\n\r\nDuring deployment on Bottlerocket environments, NeuVector encountered unexpected shell command issues. Various attempted fixes, including adding path variables to cover command paths and linking the C runtime using ldd, proved ineffective. It transpired that the built-in C runtime differed from that of Bottlerocket, leading to symbolic link discrepancies and subsequent failures. Initially perceived as minor, these issues unveiled significant systemic challenges within the existing CIS benchmark workflow. This experience prompted a thorough investigation into underlying problems, resulting in valuable workflow enhancements.\r\n\r\nThis presentation not only elucidates the analytical process and resulting resolutions but also delves into ongoing development and optimization efforts.'}",2024,ZRHBKS
EHRFAR,https://pretalx.coscup.org/media/avatars/0A34E115-CF51-4147-BA1D-E35BD43546D5_Lv0vsOY.jpg,"{'name': '龔筠庭', 'bio': '目前擔任國泰金控數數發技術架構師，過去在雲端產業厚實軟體工程能力，對於新事物充滿熱情，致力於運用新技術來解決實務問題，尤其關注並參與醫療數位轉型的工作，曾參與 IHE 北京系統聯測、擔任 MI-TW 聯測賽道召集人，以幫助醫療領域實現更好的發展。職業生涯的一半以上時間，一直專注於資訊醫療領域，開發與導入經驗有：翻新二十年前的醫院舊報告系統，並參與了醫學影像Smart DICOM Viewer和智慧醫療服務的開發與醫院場域導入。靈活應用醫學資訊標準 DICOM、FHIR和IHE-IT Infrastructure，並將這些醫學資訊標準、醫療場域實務問題與軟體工程相結合，以在醫療生態系中實現有效運用。為國內少數擁有國際醫學資訊標準領域知識與實務開發結合的軟體技術架構師。'}","{'name': '龔筠庭', 'bio': ""I currently serve as a Technical Architect at Cathay Financial Holdings, where I've honed my software engineering skills within the cloud industry. Passionate about new technologies, I focus on solving practical problems, particularly in healthcare digital transformation. My experience includes participating in IHE Beijing interoperability testing and leading the MI-TW test track, aimed at enhancing healthcare development.\r\n\r\nWith over half of my career dedicated to healthcare IT, I've modernized outdated hospital systems, developed and implemented a Smart DICOM Viewer and smart medical services. I adeptly apply standards like DICOM, FHIR, and IHE-IT Infrastructure, integrating them with software engineering to effectively address challenges in the healthcare ecosystem. I am one of the few in Taiwan with a deep knowledge of international medical standards combined with practical development expertise, making me a distinguished software technical architect in the field.""}",2024,EHRFAR
YWKWHX,https://www.gravatar.com/avatar/0c858a8d30adfb4a791ed0214e24e213?s=1024&d=identicon&r=g,"{'name': 'Richard Yen', 'bio': 'Richard has been using PostgreSQL since v. 7.4 in 2003. He is a Principal Software Engineer and Support Engineer at EnterpriseDB, providing technical support to DBAs and developers around the world, and works with many clients ranging from private corporations to government organizations and financial institutions.'}","{'name': 'Richard Yen', 'bio': 'Richard has been using PostgreSQL since v. 7.4 in 2003. He is a Principal Software Engineer and Support Engineer at EnterpriseDB, providing technical support to DBAs and developers around the world, and works with many clients ranging from private corporations to government organizations and financial institutions.'}",2024,YWKWHX
UKGMA8,https://www.gravatar.com/avatar/4dbe593741c55ebc2d2fe9826ecd7b74?s=1024&d=identicon&r=g,"{'name': 'Shirley', 'bio': 'Shirley is a software engineer at Grafana Labs working on solutions to facilitate observability. She is passionate about test code, pair programming and believes in facilitating communication through listening, empathizing and clear and understandable explanations. Outside of work, she enjoys bike riding and knitting.'}","{'name': 'Shirley', 'bio': 'Shirley is a software engineer at Grafana Labs working on solutions to facilitate observability. She is passionate about test code, pair programming and believes in facilitating communication through listening, empathizing and clear and understandable explanations. Outside of work, she enjoys bike riding and knitting.'}",2024,UKGMA8
